Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2025 Rome Masters R64,L vs Musetti,10,35,0.3,8.5%,29.7%,9,34,0.3,7.9%,29.8%,5.3%,0.0%,0.8,12.7%,16.1%
2025 Marseille R32,W vs Korda,54,37,1.5,24.0%,16.4%,35,33,1.1,18.7%,17.6%,11.8%,2.7%,1.4,18.7%,12.9%
2025 Australian Open R128,L vs Fils,33,53,0.6,12.6%,20.2%,22,41,0.5,9.9%,18.5%,6.8%,1.4%,1.0,20.2%,20.2%
2024 US Open R64,L vs De Minaur,41,53,0.8,20.3%,26.2%,35,45,0.8,19.4%,25.0%,10.6%,5.0%,1.5,13.9%,9.4%
2024 US Open R128,W vs Halys,57,13,4.4,23.2%,5.3%,47,9,5.2,23.3%,4.5%,13.9%,6.4%,1.0,17.5%,16.7%
2024 Wimbledon R64,L vs Paul,37,55,0.7,12.3%,18.3%,26,50,0.5,9.5%,18.3%,7.3%,1.8%,1.1,12.0%,11.0%
2024 Wimbledon R128,W vs Purcell,41,28,1.5,26.3%,17.9%,22,25,0.9,17.3%,19.7%,14.2%,3.1%,0.5,8.3%,17.3%
2024 Roland Garros R128,L vs Misolic,56,76,0.7,18.6%,25.2%,39,69,0.6,14.3%,25.3%,10.3%,3.3%,0.7,11.0%,16.3%
2024 Quimper CH R32,W vs Barrere,44,25,1.8,30.1%,17.1%,30,21,1.4,24.8%,17.4%,13.2%,5.0%,0.8,10.3%,12.3%
2023 Davis Cup RR,W vs Prizmic,34,45,0.8,17.9%,23.7%,20,41,0.5,11.9%,24.4%,10.1%,1.8%,0.9,7.9%,8.9%
2023 US Open R128,L vs Etcheverry,76,67,1.1,21.7%,19.1%,64,57,1.1,20.1%,17.9%,14.4%,5.0%,0.9,11.1%,12.9%
2022 Helsinki CH R16,L vs Machac,27,31,0.9,24.3%,27.9%,21,24,0.9,22.1%,25.3%,17.9%,4.2%,2.1,15.3%,7.2%
2022 Roanne CH R16,W vs Blanchet,48,28,1.7,24.5%,14.3%,32,26,1.2,19.0%,15.5%,13.7%,5.4%,1.1,13.8%,12.2%
2022 Bergamo CH F,W vs Struff,36,14,2.6,29.0%,11.3%,16,11,1.5,18.2%,12.5%,13.6%,4.5%,1.0,14.5%,14.5%
Career (14 matches),,594,560,1.1,20.3%,19.1%,418,486,0.9,16.5%,19.2%,11.3%,3.5%,1.0,13.5%,13.7%
