Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,50,16,34,32.0%,40-70,36.4%,465-572,44.8%,6-7,46.2%,48,69.2%,21.6%,6.4%,4.0%,63.0%,66.2%,44.1%,58.0%,37.3%,47.6%,0.89
Clay,22,9,13,40.9%,24-27,47.1%,230-237,49.3%,1-4,20.0%,19,64.0%,33.2%,3.3%,3.6%,64.8%,59.7%,47.1%,55.2%,42.6%,49.1%,0.95
Grass,16,9,7,56.3%,19-19,50.0%,191-179,51.6%,2-2,50.0%,16,75.4%,27.6%,7.1%,3.5%,63.8%,65.9%,51.2%,60.6%,39.8%,50.5%,1.01
Grand Slams,20,8,12,40.0%,19-28,40.4%,209-232,47.4%,2-3,40.0%,20,68.2%,27.1%,6.2%,3.8%,63.0%,64.5%,46.7%,57.9%,38.9%,48.7%,0.92
Premiers,5,1,4,20.0%,2-6,25.0%,36-38,48.6%,0-1,0.0%,5,70.0%,25.0%,6.1%,5.7%,63.4%,69.9%,36.5%,57.6%,39.8%,48.7%,0.94
Internationals,38,17,21,44.7%,38-46,45.2%,383-409,48.4%,3-5,37.5%,38,69.9%,27.0%,5.0%,3.5%,64.6%,64.9%,46.5%,58.4%,39.4%,48.9%,0.95
Semi-finals,2,0,2,0.0%,1-4,20.0%,16-27,37.2%,0-0,-,2,54.5%,19.0%,2.2%,2.2%,62.2%,56.0%,47.1%,52.6%,40.4%,46.2%,0.85
Quarter-finals,5,2,3,40.0%,5-4,55.6%,42-42,50.0%,0-1,0.0%,5,65.9%,31.8%,4.6%,5.3%,64.4%,63.9%,42.6%,56.3%,42.2%,49.0%,0.97
vs Righties,72,24,48,33.3%,62-102,37.8%,719-839,46.1%,7-12,36.8%,69,69.0%,24.0%,6.1%,3.9%,63.6%,64.6%,46.0%,57.9%,38.1%,48.1%,0.90
vs Lefties,10,5,5,50.0%,11-9,55.0%,94-91,50.8%,2-1,66.7%,10,68.8%,30.9%,3.4%,2.7%,66.5%,63.6%,44.7%,57.3%,42.3%,49.9%,0.99
vs Top 10,1,0,1,0.0%,1-2,33.3%,12-18,40.0%,1-0,100.0%,1,78.6%,0.0%,13.6%,5.8%,72.8%,64.0%,50.0%,60.2%,25.3%,44.2%,0.64
