Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Austin R32,W vs Andreescu,69.9%,51.7%,2.4%,2/0,2.22,16.9%,72.4%,50.0%,1.7%,2.22,19.0%,88.9%,56.3%,5.6%,2.23,13.0%
2024 s Hertogenbosch SF,L vs Andreescu,76.9%,46.0%,7.7%,2/3,2.36,30.2%,75.0%,48.5%,6.8%,2.31,42.9%,85.0%,41.2%,10.0%,2.45,6.7%
2024 s Hertogenbosch QF,W vs Krunic,77.6%,46.2%,3.0%,2/0,2.34,26.8%,90.0%,58.3%,0.0%,2.29,44.0%,66.7%,18.8%,8.3%,2.41,0.0%
2023 Roland Garros R128,L vs Gracheva,71.9%,49.3%,2.1%,0/2,2.50,18.0%,75.0%,45.2%,1.8%,2.46,27.3%,75.0%,55.6%,2.8%,2.58,0.0%
2023 Indian Wells R128,W vs Collins,69.3%,61.5%,4.0%,1/2,2.71,11.1%,69.0%,44.8%,4.8%,2.43,15.6%,79.3%,82.6%,3.4%,3.44,0.0%
2022 Australian Open Q2,W vs De Vroome,54.0%,51.5%,7.9%,5/5,2.42,5.1%,60.3%,54.5%,8.2%,2.36,6.8%,68.6%,45.8%,11.4%,2.60,0.0%
2021 ITF Prague F,L vs Niemeier,54.0%,44.4%,0.0%,0/0,2.29,2.9%,61.3%,42.1%,0.0%,2.39,4.3%,66.7%,50.0%,0.0%,2.12,0.0%
2016 ITF Tokyo F,L vs Zhang,76.0%,48.7%,2.0%,1/1,2.55,2.4%,80.0%,41.1%,2.9%,2.32,4.3%,76.9%,70.0%,0.0%,2.86,0.0%
Last 52 Weeks (1 matches),,69.9%,51.7%,2.4%,100.0%,2.22,16.9%,72.4%,50.0%,1.7%,2.22,19.0%,88.9%,56.3%,5.6%,2.23,13.0%
Career (8 matches),,68.3%,50.2%,3.9%,50.0%,2.43,12.3%,72.7%,48.2%,3.6%,2.34,17.5%,75.5%,54.3%,5.5%,2.61,2.5%
