Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Austin R32,W vs Andreescu,0.0%,-,11.6%,63.6%,14.7%,16.3%,0.0%,6.1%,3.7%,1.7%,40.0%,-15,11
2024 s Hertogenbosch SF,L vs Andreescu,0.0%,-,13.2%,62.5%,8.6%,14.6%,0.0%,17.1%,26.7%,1.6%,33.3%,46,38
2024 s Hertogenbosch QF,W vs Krunic,0.0%,-,12.2%,75.0%,22.0%,18.2%,50.0%,15.5%,30.0%,1.4%,0.0%,50,69
2023 Roland Garros R128,L vs Gracheva,0.0%,-,4.6%,50.0%,12.7%,20.5%,100.0%,7.6%,13.6%,1.7%,20.0%,-78,-45
2023 Indian Wells R128,W vs Collins,0.0%,-,5.9%,62.5%,15.0%,21.7%,0.0%,4.8%,0.0%,1.1%,0.0%,-8,-11
2022 Australian Open Q2,W vs De Vroome,0.0%,-,3.5%,77.8%,16.8%,25.8%,0.0%,10.9%,25.0%,0.6%,0.0%,100,69
2021 ITF Prague F,L vs Niemeier,0.0%,-,4.8%,80.0%,6.0%,12.0%,0.0%,5.1%,7.1%,5.1%,28.6%,140,126
2016 ITF Tokyo F,L vs Zhang,0.0%,-,11.4%,62.5%,10.4%,12.3%,0.0%,8.5%,17.4%,1.9%,12.5%,-12,-5
Last 52 Weeks (1 matches),,0.0%,-,11.6%,63.6%,14.7%,16.3%,0.0%,6.1%,3.7%,1.7%,40.0%,-15,11
Career (8 matches),,0.0%,-,8.2%,65.7%,13.2%,17.7%,33.3%,9.3%,16.8%,1.7%,20.0%,17,24
