Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,4,2,2,50.0%,5-4,55.6%,46-36,56.1%,0-1,0.0%,4,61.0%,52.5%,6.1%,4.1%,64.7%,56.0%,46.2%,52.5%,51.5%,52.1%,1.09,QF (Oeiras 125 Indoor 1)
2025,34,23,11,67.6%,49-22,69.0%,373-263,58.6%,2-2,50.0%,33,74.7%,43.3%,6.0%,4.6%,63.2%,68.7%,45.7%,60.2%,47.1%,53.6%,1.19,W (2x)
2024,19,9,10,47.4%,17-19,47.2%,164-169,49.2%,2-2,50.0%,10,66.7%,30.8%,6.5%,3.4%,63.7%,64.4%,44.1%,57.1%,41.0%,49.1%,0.96,SF (La Bisbal d'Emporda 125)
2023,28,13,15,46.4%,32-34,48.5%,292-297,49.6%,2-2,50.0%,9,62.2%,38.5%,4.3%,4.6%,64.9%,62.5%,43.0%,55.7%,45.4%,50.5%,1.02,SF (2x)
2022,29,19,10,65.5%,43-28,60.6%,383-322,54.3%,6-10,37.5%,13,61.9%,44.9%,5.0%,3.8%,61.3%,61.2%,44.7%,54.8%,46.9%,50.7%,1.04,W (W100 Ilkley)
2021,35,24,11,68.6%,49-23,68.1%,372-299,55.4%,6-4,60.0%,4,65.9%,31.7%,3.2%,2.5%,64.6%,59.1%,52.5%,56.8%,42.8%,49.9%,0.99,W (W25 Denain)
2020,21,13,8,61.9%,29-20,59.2%,230-194,54.2%,2-0,100.0%,5,56.9%,46.6%,1.0%,3.8%,58.6%,58.4%,46.6%,53.6%,48.6%,51.1%,1.05,F (W25 Antalya)
2019,56,32,24,57.1%,77-54,58.8%,622-535,53.8%,5-2,71.4%,4,56.0%,41.7%,3.3%,5.0%,60.1%,60.6%,39.3%,52.1%,46.9%,49.5%,0.98,F (W60 La Bisbal D'Emporda)
2018,37,16,21,43.2%,34-42,44.7%,339-374,47.5%,1-3,25.0%,2,69.2%,50.0%,0.9%,4.7%,58.9%,58.7%,47.7%,54.2%,47.5%,51.8%,1.04,SF (Stuttgart Vaihingen $25K)
2017,36,20,16,55.6%,47-37,56.0%,395-391,50.3%,7-5,58.3%,1,37.5%,12.5%,2.1%,6.4%,59.6%,46.4%,26.3%,38.3%,34.6%,36.4%,0.56,SF (2x)
2016,59,40,19,67.8%,86-43,66.7%,680-538,55.8%,7-6,53.8%,0,,,,,,,,,,,,W (2x)
2015,31,25,6,80.6%,53-20,72.6%,406-284,58.8%,6-6,50.0%,0,,,,,,,,,,,,W (3x)
2014,16,12,4,75.0%,22-11,66.7%,160-113,58.6%,1-1,50.0%,0,,,,,,,,,,,,W (2x)
2013,1,0,1,0.0%,1-2,33.3%,15-19,44.1%,1-0,100.0%,0,,,,,,,,,,,,R32 (Trnava 75K)
Career,406,248,158,61.1%,544-359,60.2%,4477-3834,53.9%,48-44,52.2%,85,66.4%,41.5%,4.9%,4.2%,62.6%,63.7%,45.0%,56.7%,46.3%,51.5%,1.07,
