Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,10,Hard,17,7,10,41.2%,4,1,3,25.0%,2000,2009,R32,1,0.68,2.2%,4.3%,59.8%,49.1%,32.4%,42.4%,39.3%,38.5%,33.3%
Roland Garros,9,Clay,13,4,9,30.8%,1,1,0,100.0%,2000,2009,R64,3,0.88,2.1%,4.2%,62.5%,57.5%,50.0%,54.7%,39.8%,62.1%,50.0%
Wimbledon,10,Grass,21,11,10,52.4%,4,3,1,75.0%,2000,2009,R64,4,0.80,1.5%,4.5%,66.3%,59.3%,41.1%,53.2%,37.3%,62.5%,37.0%
US Open,11,Hard,25,14,11,56.0%,10,3,7,30.0%,1999,2009,R64,2,0.81,3.0%,5.4%,57.2%,54.7%,46.5%,51.2%,39.6%,55.0%,58.3%
Fed Cup,8,,17,9,8,52.9%,3,2,1,66.7%,2000,2010,,0,,,,,,,,,,
Tashkent,10,Hard,24,14,10,58.3%,3,2,1,66.7%,2000,2010,F,3,1.17,0.5%,9.9%,56.8%,66.1%,43.4%,56.3%,51.1%,47.6%,47.1%
Moscow,9,Hard,15,6,9,40.0%,4,1,3,25.0%,1995,2010,R32,2,0.99,0.0%,6.1%,65.2%,56.0%,42.5%,51.3%,48.0%,42.9%,61.5%
Dubai,8,Hard,10,2,8,20.0%,1,0,1,0.0%,2001,2011,R32,1,0.62,0.0%,6.3%,66.7%,52.4%,19.0%,41.3%,36.2%,50.0%,75.0%
Miami,6,Hard,18,12,6,66.7%,4,2,2,50.0%,2000,2008,R32,3,0.82,0.6%,11.9%,61.4%,58.3%,33.8%,48.9%,41.9%,36.4%,40.0%
Indian Wells,6,Hard,15,9,6,60.0%,3,1,2,33.3%,2001,2008,R64,2,0.62,1.7%,4.3%,71.3%,51.2%,36.4%,47.0%,33.0%,47.1%,12.5%
Hobart,6,Hard,9,3,6,33.3%,3,1,2,33.3%,2001,2011,R16,1,0.70,0.0%,6.3%,66.7%,40.6%,25.0%,35.4%,45.3%,36.4%,50.0%
