Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,102,40,62,39.2%,92-135,40.5%,955-1089,46.7%,5-15,25.0%,18,-,-,1.1%,6.0%,63.8%,53.7%,39.9%,48.7%,41.7%,45.3%,0.81
Clay,53,17,36,32.1%,41-81,33.6%,454-619,42.3%,5-3,62.5%,7,-,-,1.6%,5.4%,64.3%,54.9%,43.8%,50.9%,40.8%,45.8%,0.83
Grass,11,3,8,27.3%,8-16,33.3%,86-125,40.8%,1-1,50.0%,7,-,-,1.4%,4.1%,70.0%,57.0%,42.7%,52.8%,40.0%,46.3%,0.85
Carpet,3,0,3,0.0%,0-6,0.0%,26-38,40.6%,1-1,50.0%,0,,,,,,,,,,,
Grand Slams,26,7,19,26.9%,20-40,33.3%,233-313,42.7%,2-4,33.3%,10,-,-,2.1%,4.6%,62.3%,56.6%,43.7%,51.7%,38.8%,45.6%,0.80
Premiers,30,7,23,23.3%,18-52,25.7%,242-375,39.2%,0-7,0.0%,9,-,-,1.1%,6.6%,66.2%,52.7%,36.0%,47.0%,40.5%,43.7%,0.77
Internationals,76,28,48,36.8%,64-103,38.3%,688-813,45.8%,5-6,45.5%,13,-,-,0.7%,5.4%,66.9%,54.4%,42.3%,50.4%,43.6%,47.0%,0.88
Finals,1,0,1,0.0%,0-2,0.0%,8-12,40.0%,0-0,-,0,,,,,,,,,,,
Semi-finals,3,1,2,33.3%,2-4,33.3%,21-36,36.8%,2-0,100.0%,0,,,,,,,,,,,
Quarter-finals,8,3,5,37.5%,7-11,38.9%,75-92,44.9%,1-0,100.0%,1,-,-,0.0%,10.0%,71.7%,48.8%,17.6%,40.0%,46.9%,43.5%,0.78
vs Righties,151,48,103,31.8%,115-221,34.2%,1306-1695,43.5%,10-19,34.5%,30,-,-,1.3%,5.6%,65.2%,54.7%,40.9%,49.9%,40.0%,45.1%,0.80
vs Lefties,8,4,4,50.0%,9-10,47.4%,84-95,46.9%,1-0,100.0%,0,,,,,,,,,,,
vs Top 10,7,0,7,0.0%,1-14,6.7%,35-89,28.2%,0-0,-,2,-,-,0.0%,7.1%,51.8%,43.2%,41.5%,42.4%,33.3%,37.6%,0.58
