Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2011,935,13,,,,,,,,,70,1204,,
2010,421,85,180,1514,181,1479,189,1424,146,1463,53,1565,,
2009,263,184,166,1538,159,1498,193,1419,132,1492,,,,
2008,171,184,164,1564,166,1517,188,1439,101,1540,,,,
2007,94,361,157,1576,149,1540,167,1470,121,1500,,,,
2006,123,239,152,1583,138,1554,162,1477,113,1510,,,,
2005,161,222,175,1538,171,1500,178,1452,125,1494,,,,
2004,223,142,205,1475,195,1439,188,1442,163,1436,,,,
2003,121,293,156,1545,147,1506,147,1501,154,1450,,,,
2002,100,370,114,1640,113,1576,110,1586,116,1511,,,,
2001,76,472,59,1786,47,1730,69,1686,74,1583,,,,
2000,86,379,72,1756,77,1658,61,1700,68,1604,,,,
1999,136,196,,,,,,,,,,,,
1998,208,101,,,,,,,,,,,,
1997,231,79,,,,,,,,,,,,
1996,373,31,,,,,,,,,,,,
1995,734,,,,,,,,,,,,,
1994,784,,,,,,,,,,,,,
