Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2010,3,2,1,66.7%,4-2,66.7%,28-16,63.6%,0-0,-,1,-,-,2.1%,10.6%,57.4%,48.1%,25.0%,38.3%,40.4%,39.4%,0.66,
2009,3,1,2,33.3%,2-4,33.3%,21-28,42.9%,0-0,-,2,-,-,1.7%,5.1%,68.6%,45.7%,37.8%,43.2%,40.9%,42.0%,0.72,
2008,9,3,6,33.3%,8-13,38.1%,84-101,45.4%,2-1,66.7%,7,-,-,1.1%,4.1%,67.0%,55.5%,42.0%,51.0%,42.4%,46.9%,0.87,R16 (2x)
2007,25,7,18,28.0%,15-37,28.8%,184-263,41.2%,0-3,0.0%,16,-,-,1.3%,6.8%,63.6%,56.6%,39.5%,50.4%,41.9%,46.1%,0.84,QF (Kolkata)
2006,10,3,7,30.0%,7-15,31.8%,82-113,42.1%,0-1,0.0%,2,-,-,0.6%,2.5%,68.6%,48.6%,46.0%,47.8%,40.9%,44.5%,0.78,R16 (3x)
2005,4,0,4,0.0%,0-8,0.0%,22-48,31.4%,0-0,-,1,-,-,3.0%,6.0%,73.1%,59.2%,38.9%,53.7%,27.3%,41.8%,0.59,R32 (3x)
2004,5,2,3,40.0%,5-6,45.5%,43-54,44.3%,1-0,100.0%,0,,,,,,,,,,,,R16 (Hyderabad)
2003,20,7,13,35.0%,17-31,35.4%,198-251,44.1%,2-2,50.0%,3,-,-,1.2%,4.4%,62.8%,54.1%,48.4%,52.0%,39.3%,45.7%,0.82,R16 (3x)
2002,35,13,22,37.1%,30-50,37.5%,340-412,45.2%,5-8,38.5%,0,,,,,,,,,,,,F (Tashkent)
2001,39,15,24,38.5%,38-54,41.3%,386-444,46.5%,1-4,20.0%,0,,,,,,,,,,,,SF (Pattaya)
2000,14,7,7,50.0%,15-14,51.7%,122-117,51.0%,0-1,0.0%,0,,,,,,,,,,,,QF (2x)
1999,1,0,1,0.0%,0-2,0.0%,3-12,20.0%,0-0,-,0,,,,,,,,,,,,R128 (US Open)
1995,1,0,1,0.0%,0-2,0.0%,8-12,40.0%,1-0,100.0%,0,,,,,,,,,,,,R32 (Moscow)
Career,169,60,109,35.5%,141-238,37.2%,1521-1871,44.8%,12-20,37.5%,32,-,-,1.3%,5.5%,65.2%,54.7%,41.2%,50.0%,41.2%,45.6%,0.82,
