Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,7,Hard,13,6,7,46.2%,4,0,4,0.0%,2014,2025,R64,13,1.01,5.3%,9.0%,58.5%,66.1%,45.6%,57.6%,42.7%,56.3%,49.5%
Roland Garros,7,Clay,14,7,7,50.0%,3,3,0,100.0%,2014,2023,R64,14,0.95,5.3%,7.5%,58.8%,61.7%,40.6%,53.0%,44.7%,53.2%,45.9%
Wimbledon,7,Grass,17,10,7,58.8%,3,3,0,100.0%,2014,2023,R16,17,1.05,7.3%,6.2%,56.5%,67.5%,45.7%,58.0%,43.9%,50.8%,42.8%
US Open,7,Hard,17,10,7,58.8%,3,2,1,66.7%,2014,2024,QF,16,1.01,7.1%,7.8%,57.1%,68.8%,43.7%,58.0%,42.2%,57.5%,42.6%
Olympics,1,,2,1,1,50.0%,2,1,1,50.0%,2016,2016,R32,2,1.00,6.8%,4.7%,56.8%,61.9%,46.9%,55.4%,44.5%,60.0%,44.4%
Fed Cup,5,,13,8,5,61.5%,3,2,1,66.7%,2013,2019,,5,1.08,7.0%,10.7%,48.0%,68.5%,49.7%,58.7%,44.6%,36.4%,44.2%
Makarska 125,2,Clay,3,1,2,33.3%,0,0,0,-,2023,2025,QF,1,0.62,1.4%,12.9%,51.4%,69.4%,23.5%,47.1%,32.7%,64.3%,25.0%
Stuttgart,5,Clay,8,3,5,37.5%,3,2,1,66.7%,2015,2025,R32,6,0.94,5.0%,5.8%,54.7%,71.3%,43.3%,58.6%,38.7%,63.6%,44.4%
Charleston,3,Clay,4,1,3,25.0%,0,0,0,-,2016,2025,R32,4,0.86,3.1%,8.7%,52.8%,66.2%,39.3%,53.5%,40.2%,59.5%,35.7%
Miami,6,Hard,10,4,6,40.0%,3,2,1,66.7%,2015,2025,R16,8,0.94,5.6%,8.1%,52.1%,63.5%,39.0%,51.8%,45.1%,46.2%,39.8%
Auckland,4,Hard,10,6,4,60.0%,0,0,0,-,2013,2024,F,10,1.02,7.4%,7.9%,50.7%,68.2%,48.4%,58.5%,42.5%,58.6%,42.9%
Rome,3,Clay,6,3,3,50.0%,1,0,1,0.0%,2016,2023,Q2,6,1.00,7.9%,8.3%,54.7%,71.9%,43.0%,58.8%,41.1%,63.9%,42.6%
