Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
1994 Australian Open R16,L vs Sampras,1.2%,100.0%,8.5%,68.8%,10.0%,9.4%,0.0%,11.7%,40.0%,0.0%,-,-14,-25
1993 Tokyo Indoor F,W vs Martin,0.0%,-,3.2%,50.0%,20.5%,36.4%,0.0%,31.8%,40.0%,0.0%,-,-4,2
1993 New Haven QF,L vs Agassi,0.0%,-,4.1%,100.0%,16.4%,35.3%,0.0%,10.0%,30.0%,0.5%,0.0%,-34,-12
1993 Munich F,W vs Stich,0.0%,-,5.0%,83.3%,11.1%,15.4%,0.0%,11.5%,75.0%,0.0%,-,-48,-87
1992 US Open R16,W vs Becker,8.6%,92.9%,10.1%,78.4%,16.8%,22.2%,8.3%,17.6%,37.0%,0.5%,50.0%,12,13
1992 US Open QF,L vs Edberg,19.1%,63.6%,17.0%,71.9%,16.3%,14.3%,7.1%,17.0%,28.9%,0.0%,-,51,48
1992 New Haven SF,L vs Edberg,12.9%,54.5%,12.8%,60.9%,23.1%,23.1%,0.0%,33.3%,16.7%,0.0%,-,54,7
1992 Cincinnati F,L vs Sampras,1.5%,0.0%,8.9%,64.3%,15.0%,18.2%,14.3%,10.3%,57.1%,0.0%,-,-8,5
1992 Cincinnati SF,W vs Chang,0.0%,-,6.8%,87.5%,13.6%,20.0%,15.4%,10.5%,22.2%,0.0%,-,-91,-68
1992 Canada F,L vs Agassi,0.0%,-,3.5%,33.3%,18.2%,15.4%,0.0%,14.6%,40.0%,0.0%,-,-55,-30
1992 Canada SF,W vs Masur,0.0%,-,11.0%,72.7%,29.6%,41.7%,11.1%,10.0%,23.5%,0.5%,0.0%,11,7
1992 Australian Open QF,L vs Edberg,2.2%,33.3%,10.8%,71.0%,18.5%,27.3%,6.3%,19.3%,32.1%,0.3%,100.0%,13,3
1991 Grand Slam Cup SF,L vs Chang,3.5%,60.0%,9.2%,67.7%,14.2%,20.4%,18.2%,9.5%,20.7%,0.5%,0.0%,28,-11
1991 Tour Finals SF,L vs Sampras,2.4%,100.0%,5.6%,66.7%,15.9%,30.8%,0.0%,13.8%,11.1%,0.0%,-,8,1
1991 Tour Finals RR,W vs Courier,0.0%,-,10.2%,100.0%,12.5%,17.2%,0.0%,13.6%,33.3%,0.0%,-,-86,-49
1991 Tour Finals RR,W vs Novacek,3.8%,0.0%,6.3%,80.0%,11.9%,18.2%,0.0%,10.0%,66.7%,0.0%,-,-81,36
1991 Tour Finals RR,W vs Forget,25.6%,80.0%,17.8%,78.9%,16.4%,30.8%,16.7%,3.5%,0.0%,0.0%,-,-71,-24
1991 US Open SF,L vs Edberg,9.9%,62.5%,12.0%,75.0%,12.3%,26.3%,0.0%,15.0%,16.7%,0.0%,-,-8,-19
1991 US Open QF,W vs Stich,1.4%,100.0%,6.7%,78.9%,13.9%,18.6%,10.0%,8.7%,31.6%,0.0%,-,-14,-5
1991 Long Island F,W vs Edberg,0.0%,-,5.8%,83.3%,16.7%,35.7%,0.0%,10.4%,7.1%,0.0%,-,-35,-47
Career (129 matches),,15.5%,64.3%,15.9%,67.4%,12.6%,18.9%,7.6%,9.4%,26.6%,0.6%,30.6%,-44,-34
