Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,12,Hard,58,48,10,82.8%,31,22,9,71.0%,1980,1994,W,17,1.30,8.6%,2.7%,61.4%,78.8%,51.4%,68.2%,41.4%,64.1%,43.8%
Roland Garros,15,Clay,65,53,12,81.5%,29,22,7,75.9%,1978,1994,W,4,0.95,5.3%,2.2%,55.8%,69.5%,46.6%,59.4%,38.6%,50.0%,48.7%
Wimbledon,14,Grass,62,48,14,77.4%,54,34,20,63.0%,1979,1993,F,9,1.05,10.6%,4.7%,61.6%,80.5%,49.1%,68.4%,33.3%,61.4%,36.4%
US Open,16,Hard,86,73,13,84.9%,33,21,12,63.6%,1979,1994,W,14,1.13,6.9%,2.9%,59.1%,75.0%,48.8%,64.3%,40.1%,59.5%,42.0%
Davis Cup,8,,29,18,11,62.1%,0,0,0,-,1978,1985,,0,,,,,,,,,,
Montreal / Toronto,11,Hard,51,46,5,90.2%,13,8,5,61.5%,1979,1989,W,0,,,,,,,,,,
Tokyo Indoor,11,Carpet,48,42,6,87.5%,19,13,6,68.4%,1979,1993,W,14,1.27,11.9%,3.3%,59.0%,79.4%,58.5%,70.8%,37.2%,67.9%,36.8%
Sydney Indoor,10,Hard,38,31,7,81.6%,9,4,5,44.4%,1983,1993,W,6,1.14,6.9%,2.9%,55.6%,73.5%,56.9%,66.2%,38.7%,70.7%,46.2%
Masters,9,Carpet,37,30,7,81.1%,12,5,7,41.7%,1981,1989,W,0,,,,,,,,,,
Barcelona,8,Clay,34,28,6,82.4%,8,3,5,37.5%,1978,1993,W,6,1.20,10.0%,2.2%,52.9%,74.7%,50.8%,63.4%,43.9%,69.6%,45.3%
Philadelphia,7,Carpet,29,24,5,82.8%,9,6,3,66.7%,1983,1994,W,12,1.19,9.8%,2.9%,54.6%,77.0%,56.6%,67.7%,38.4%,70.4%,35.2%
