Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,4,Hard,4,0,4,0.0%,0,0,0,-,2000,2004,R128,0,,,,,,,,,,
Roland Garros,7,Clay,16,9,7,56.3%,3,0,3,0.0%,1993,2004,R64,1,0.65,0.0%,3.4%,71.2%,50.0%,35.3%,45.8%,35.0%,28.6%,66.7%
Wimbledon,4,Grass,5,1,4,20.0%,2,1,1,50.0%,1999,2004,R64,0,,,,,,,,,,
US Open,6,Hard,8,2,6,25.0%,1,1,0,100.0%,1999,2004,R64,0,,,,,,,,,,
Fed Cup,2,,4,0,4,0.0%,0,0,0,-,1995,1996,,0,,,,,,,,,,
Estoril,6,Clay,20,13,7,65.0%,6,2,4,33.3%,1999,2004,SF,0,,,,,,,,,,
Hamburg,5,Clay,11,6,5,54.5%,1,0,1,0.0%,1993,2001,R16,0,,,,,,,,,,
Budapest,5,Clay,10,5,5,50.0%,2,1,1,50.0%,1999,2003,QF,0,,,,,,,,,,
Berlin,4,Clay,10,6,4,60.0%,3,2,1,66.7%,1992,2001,R32,0,,,,,,,,,,
ITF Sofia,4,Clay,9,6,3,66.7%,1,0,1,0.0%,1991,1995,QF,0,,,,,,,,,,
Antwerp,4,Hard,7,3,4,42.9%,4,2,2,50.0%,2000,2004,QF,0,,,,,,,,,,
