Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
6,Linda Noskova [CZE],4,2,66.7%,0,0,0,-,2024,2026,6,1.08,5.8%,4.9%,58.1%,66.9%,50.8%,60.2%,42.8%,56.1%,52.2%
6,Aryna Sabalenka [BLR],2,4,33.3%,1,0,1,0.0%,2023,2025,6,0.83,4.9%,5.7%,56.0%,61.4%,43.8%,53.6%,38.6%,42.9%,32.5%
4,Marie Bouzkova [CZE],4,0,100.0%,1,1,0,100.0%,2025,2026,4,1.37,2.7%,5.3%,64.3%,71.6%,46.8%,62.7%,51.1%,57.9%,57.6%
4,Magda Linette [POL],3,1,75.0%,1,1,0,100.0%,2023,2026,4,1.32,3.9%,1.7%,71.7%,66.1%,55.4%,63.0%,48.6%,70.4%,55.6%
4,Clara Tauson [DEN],4,0,100.0%,1,1,0,100.0%,2025,2025,4,1.38,5.4%,4.7%,66.2%,73.4%,54.3%,66.9%,45.7%,73.7%,62.1%
4,Coco Gauff [USA],0,4,0.0%,2,1,1,50.0%,2023,2025,4,0.62,1.6%,4.5%,64.0%,53.3%,40.2%,48.6%,31.9%,54.3%,56.3%
4,Barbora Krejcikova [CZE],3,1,75.0%,1,1,0,100.0%,2023,2024,4,1.17,5.6%,5.6%,63.6%,68.4%,51.3%,62.1%,44.4%,52.6%,50.0%
3,Victoria Mboko [CAN],1,2,33.3%,2,0,2,0.0%,2026,2026,3,1.04,3.6%,3.6%,65.1%,64.8%,51.7%,60.2%,41.5%,61.5%,52.2%
3,Anastasia Potapova [RUS],2,1,66.7%,1,1,0,100.0%,2022,2025,3,1.07,0.0%,3.1%,65.6%,59.7%,44.9%,54.6%,48.6%,58.6%,34.9%
3,Magdalena Frech [POL],2,1,66.7%,0,0,0,-,2025,2025,3,1.04,2.5%,6.2%,63.1%,65.1%,43.8%,57.3%,44.3%,64.7%,46.7%
3,Iga Swiatek [POL],2,1,66.7%,1,1,0,100.0%,2024,2025,3,1.00,10.2%,4.2%,55.8%,69.6%,51.3%,61.5%,38.6%,66.7%,50.0%
3,Elena Rybakina [KAZ],2,1,66.7%,0,0,0,-,2023,2025,3,1.08,3.3%,5.2%,57.6%,69.4%,46.1%,59.5%,43.8%,57.9%,46.7%
3,Peyton Stearns [USA],2,1,66.7%,0,0,0,-,2024,2025,3,1.13,4.7%,8.9%,58.6%,65.2%,44.3%,56.5%,48.9%,61.1%,46.9%
3,Elina Avanesyan [ARM],3,0,100.0%,0,0,0,-,2024,2025,3,1.36,1.5%,3.5%,67.8%,64.4%,54.7%,61.3%,52.6%,66.7%,62.1%
3,Tamara Korpatsch [GER],3,0,100.0%,0,0,0,-,2023,2024,3,1.25,2.8%,3.7%,61.1%,63.6%,53.6%,59.7%,50.4%,47.6%,54.1%
