Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Miami R16,L vs Mboko,53.8%,40.0%,6.5%,2/4,2.52,11.0%,59.4%,34.2%,3.1%,2.50,18.4%,63.2%,58.3%,21.1%,2.54,2.9%
2026 Miami R32,W vs Bouzkova,83.3%,51.7%,2.8%,1/1,2.21,6.6%,86.7%,46.2%,0.0%,2.03,9.8%,91.3%,61.9%,8.7%,2.57,0.0%
2026 Miami R64,W vs Kessler,84.0%,51.9%,3.2%,2/1,2.53,4.4%,86.4%,51.0%,1.7%,2.56,7.1%,96.6%,53.6%,6.9%,2.48,0.0%
2026 Indian Wells R32,L vs Siniakova,82.8%,52.8%,1.6%,0/2,2.34,53.7%,81.9%,50.6%,0.0%,2.42,72.1%,93.5%,58.6%,6.5%,2.12,0.0%
2026 Indian Wells R64,W vs Sierra,78.4%,79.3%,2.7%,1/0,2.36,0.0%,87.5%,92.9%,6.3%,2.46,0.0%,83.3%,66.7%,0.0%,2.26,0.0%
2026 Dubai QF,L vs Anisimova,77.0%,55.2%,13.3%,10/5,2.46,1.2%,84.9%,58.1%,6.8%,2.66,2.0%,78.1%,48.0%,31.3%,2.15,0.0%
2026 Dubai R16,W vs Cristian,78.9%,65.0%,6.6%,3/2,2.35,2.6%,82.5%,75.8%,5.0%,2.30,4.2%,90.0%,51.9%,10.0%,2.43,0.0%
2026 Doha R16,L vs Mboko,76.7%,43.9%,5.8%,3/2,2.13,6.1%,81.0%,36.2%,1.7%,2.33,9.1%,90.5%,63.2%,19.0%,1.73,0.0%
2026 Australian Open R16,L vs Svitolina,77.0%,53.2%,1.6%,0/1,2.03,12.8%,73.0%,55.6%,0.0%,1.95,19.4%,87.0%,50.0%,4.3%,2.17,0.0%
2026 Australian Open R32,W vs Ruse,82.3%,52.9%,3.2%,1/1,2.63,8.7%,84.2%,43.8%,2.6%,2.49,13.3%,90.5%,68.4%,4.8%,2.89,0.0%
2026 Australian Open R64,W vs Sakkari,86.7%,61.5%,2.2%,1/0,2.40,18.2%,82.4%,71.4%,2.9%,2.46,25.0%,100.0%,36.4%,0.0%,2.23,0.0%
2026 Australian Open R128,W vs Vekic,75.9%,56.7%,7.6%,6/0,2.53,0.0%,75.0%,57.6%,4.5%,2.29,0.0%,87.1%,55.6%,12.9%,2.98,0.0%
2026 Adelaide F,W vs Mboko,72.7%,70.0%,1.8%,1/0,2.21,14.3%,79.5%,64.5%,2.6%,2.17,19.0%,69.2%,88.9%,0.0%,2.34,0.0%
2026 Adelaide SF,W vs Shnaider,85.2%,61.5%,0.0%,0/0,2.26,12.5%,87.2%,58.5%,0.0%,2.24,17.9%,84.6%,72.7%,0.0%,2.32,0.0%
2026 Adelaide QF,W vs Joint,86.3%,68.2%,5.9%,2/1,2.50,3.4%,92.9%,65.4%,3.6%,2.79,5.3%,90.0%,72.2%,10.0%,1.94,0.0%
2026 Adelaide R16,W vs Bouzkova,93.2%,58.5%,2.3%,0/1,2.38,5.3%,97.0%,56.3%,3.0%,2.37,7.1%,90.0%,66.7%,0.0%,2.41,0.0%
2026 Brisbane QF,L vs Kostyuk,78.4%,43.1%,8.1%,5/1,2.31,24.1%,83.7%,39.0%,0.0%,2.18,34.3%,73.9%,52.9%,26.1%,2.54,5.3%
2026 Brisbane R16,W vs Noskova,64.5%,43.5%,7.5%,5/3,2.23,17.9%,65.1%,43.9%,6.3%,2.29,22.9%,80.0%,42.9%,11.4%,2.13,10.0%
2026 Brisbane R32,W vs Gadecki,70.7%,60.4%,5.3%,4/0,2.56,22.0%,73.6%,64.1%,3.8%,2.46,35.5%,73.7%,50.0%,10.5%,2.72,0.0%
2025 Beijing R16,L vs Kartal,74.3%,47.4%,1.9%,2/0,2.27,13.8%,69.6%,45.8%,1.4%,2.20,17.8%,85.7%,50.0%,2.9%,2.41,5.0%
Last 52 Weeks (47 matches),,76.9%,54.0%,4.3%,59.1%,2.34,12.4%,78.8%,51.4%,2.5%,2.36,18.7%,85.5%,59.0%,8.9%,2.32,1.8%
Career (103 matches),,77.0%,54.0%,4.8%,49.1%,2.42,10.6%,78.5%,51.5%,3.0%,2.43,16.3%,84.8%,58.5%,8.9%,2.40,1.5%
