Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2026 Miami R16,L vs Mboko,3.7,4.2,3.0,47.2%,38.5%,52.0%,60.0%,50.5%,7.3%,11.5,9.1,-5.0,-4.0
2026 Miami R32,W vs Bouzkova,5.2,5.4,4.8,54.8%,38.2%,80.0%,62.5%,54.3%,7.5%,10.5,7.3,8.5,6.4
2026 Miami R64,W vs Kessler,4.4,4.1,4.6,58.3%,62.5%,50.0%,47.1%,66.1%,7.6%,10.5,6.0,2.5,2.7
2026 Indian Wells R32,L vs Siniakova,4.8,4.3,5.3,48.6%,50.7%,44.2%,46.4%,44.3%,7.8%,-2.0,-1.2,11.5,4.6
2026 Indian Wells R64,W vs Sierra,4.0,3.7,4.2,67.5%,76.5%,69.2%,100.0%,47.2%,4.5%,7.0,15.9,5.0,7.9
2026 Dubai QF,L vs Anisimova,4.1,3.9,4.4,49.1%,51.4%,53.8%,47.4%,48.1%,11.2%,6.5,5.5,0.0,0.0
2026 Dubai R16,W vs Cristian,4.4,3.2,5.3,50.7%,54.1%,60.0%,75.0%,55.3%,5.1%,2.0,1.8,7.5,6.8
2026 Doha R16,L vs Mboko,5.2,5.4,5.0,52.6%,41.4%,50.0%,46.7%,49.6%,12.6%,-5.5,-3.5,-1.0,-0.5
2026 Australian Open R16,L vs Svitolina,4.7,5.0,4.4,50.9%,47.2%,23.1%,46.2%,52.7%,12.9%,-2.0,-1.9,2.5,2.5
2026 Australian Open R32,W vs Ruse,5.4,5.2,5.5,65.6%,52.4%,59.1%,31.8%,49.3%,13.2%,-7.5,-7.8,12.5,9.8
2026 Australian Open R64,W vs Sakkari,4.9,4.7,5.0,60.4%,52.4%,57.1%,58.3%,48.5%,12.5%,8.5,9.7,3.5,3.8
2026 Australian Open R128,W vs Vekic,4.1,4.1,4.0,57.1%,64.1%,50.0%,66.7%,59.1%,13.4%,6.0,5.6,10.5,12.5
2026 Adelaide F,W vs Mboko,4.5,5.4,3.9,59.2%,80.0%,70.0%,41.7%,50.0%,14.3%,2.5,3.5,9.0,11.7
2026 Adelaide SF,W vs Shnaider,5.5,5.9,5.1,52.1%,67.9%,47.4%,66.7%,61.3%,9.7%,1.5,1.1,7.0,7.0
2026 Adelaide QF,W vs Joint,4.7,4.7,4.7,61.2%,55.0%,64.7%,83.3%,44.6%,7.1%,0.5,0.7,15.0,14.7
2026 Adelaide R16,W vs Bouzkova,4.7,4.6,4.8,65.7%,60.0%,68.8%,50.0%,44.7%,9.6%,19.0,26.8,11.5,12.4
2026 Brisbane QF,L vs Kostyuk,3.5,3.3,3.8,44.9%,52.0%,36.4%,33.3%,50.7%,10.6%,-2.0,-2.2,3.5,4.0
2026 Brisbane R16,W vs Noskova,3.6,3.7,3.6,46.9%,48.1%,54.2%,100.0%,42.1%,13.3%,9.5,11.0,20.0,13.5
2026 Brisbane R32,W vs Gadecki,3.7,3.4,3.9,54.4%,64.9%,60.0%,33.3%,45.7%,7.9%,5.5,6.5,12.0,10.3
2025 Beijing R16,L vs Kartal,5.4,5.1,5.6,45.9%,65.3%,62.5%,36.8%,48.8%,11.2%,0.5,0.3,13.5,6.6
Last 52 Weeks (47 matches),,4.5,4.3,4.6,53.2%,53.0%,52.8%,56.2%,51.0%,10.7%,2.3,2.3,6.4,5.8
Career (103 matches),,4.6,4.5,4.6,52.6%,52.0%,51.7%,54.2%,49.7%,9.9%,4.1,3.9,6.1,5.2
