Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Miami R16,L vs Mboko,0.0%,-,5.1%,40.0%,11.2%,19.5%,0.0%,10.2%,26.1%,0.4%,0.0%,-40,-21
2026 Miami R32,W vs Bouzkova,0.0%,-,10.3%,66.7%,12.7%,8.7%,0.0%,11.6%,18.5%,1.2%,25.0%,29,6
2026 Miami R64,W vs Kessler,0.0%,-,4.2%,71.4%,11.7%,18.4%,0.0%,11.3%,21.4%,0.3%,100.0%,-59,-20
2026 Indian Wells R32,L vs Siniakova,0.0%,-,13.2%,59.4%,11.6%,15.1%,0.0%,11.4%,29.8%,1.0%,20.0%,-20,13
2026 Indian Wells R64,W vs Sierra,0.0%,-,5.3%,75.0%,8.8%,11.8%,0.0%,8.7%,33.3%,0.8%,100.0%,-50,-7
2026 Dubai QF,L vs Anisimova,0.0%,-,4.3%,80.0%,10.1%,17.1%,0.0%,9.8%,26.5%,1.0%,25.0%,-94,-53
2026 Dubai R16,W vs Cristian,0.0%,-,7.3%,80.0%,10.5%,12.8%,100.0%,13.4%,35.0%,1.1%,66.7%,-7,33
2026 Doha R16,L vs Mboko,0.0%,-,7.4%,57.1%,7.8%,10.6%,100.0%,4.3%,6.5%,2.1%,0.0%,-81,-71
2026 Australian Open R16,L vs Svitolina,0.0%,-,9.2%,63.6%,11.5%,15.8%,0.0%,13.2%,31.3%,1.6%,50.0%,5,4
2026 Australian Open R32,W vs Ruse,0.0%,-,5.6%,85.7%,1.4%,0.0%,0.0%,7.3%,25.0%,0.0%,-,-130,-99
2026 Australian Open R64,W vs Sakkari,0.0%,-,4.2%,75.0%,6.0%,10.8%,0.0%,9.3%,21.7%,0.5%,0.0%,-86,-55
2026 Australian Open R128,W vs Vekic,0.0%,-,13.3%,80.0%,8.5%,8.6%,0.0%,17.7%,52.6%,1.7%,25.0%,-60,-31
2026 Adelaide F,W vs Mboko,0.0%,-,8.3%,87.5%,7.1%,12.5%,0.0%,11.9%,40.0%,1.6%,100.0%,-71,-47
2026 Adelaide SF,W vs Shnaider,0.0%,-,9.2%,63.6%,7.3%,11.5%,6.5%,10.4%,17.4%,1.0%,0.0%,-71,-43
2026 Adelaide QF,W vs Joint,0.0%,-,5.1%,100.0%,2.0%,4.8%,0.0%,11.4%,47.1%,1.0%,50.0%,-105,-45
2026 Adelaide R16,W vs Bouzkova,0.0%,-,13.0%,58.3%,18.9%,36.8%,0.0%,22.7%,42.3%,2.1%,50.0%,78,53
2026 Brisbane QF,L vs Kostyuk,0.0%,-,9.6%,53.3%,13.6%,17.9%,0.0%,12.5%,36.4%,1.9%,25.0%,-77,-17
2026 Brisbane R16,W vs Noskova,0.0%,-,7.9%,52.9%,23.1%,25.0%,33.3%,15.8%,29.4%,0.3%,100.0%,-32,-29
2026 Brisbane R32,W vs Gadecki,0.0%,-,6.0%,88.9%,10.8%,11.1%,0.0%,18.6%,52.0%,0.9%,50.0%,0,49
2025 Beijing R16,L vs Kartal,0.0%,-,11.2%,68.2%,3.9%,3.2%,0.0%,12.4%,41.9%,2.4%,45.5%,-60,-42
Last 52 Weeks (47 matches),,0.0%,100.0%,9.3%,69.6%,9.6%,13.2%,11.7%,11.1%,27.3%,2.0%,31.4%,-31,-13
Career (103 matches),,0.0%,100.0%,8.0%,67.6%,10.2%,13.6%,12.8%,10.8%,25.6%,2.0%,38.3%,-32,-17
