Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2026 Miami R16,L vs Mboko,0.98,0.79,64.1,2.3,5.6%,63.0%,6.0%,56.0%,34.0%,30.2%
2026 Miami R32,W vs Bouzkova,1.04,1.28,63.3,3.2,2.6%,68.4%,0.0%,52.8%,39.5%,58.8%
2026 Miami R64,W vs Kessler,0.94,1.43,58.5,2.7,7.9%,68.4%,8.6%,65.7%,51.1%,48.9%
2026 Indian Wells R32,L vs Siniakova,0.97,0.90,85.8,10.6,6.8%,54.2%,3.6%,46.4%,52.3%,39.7%
2026 Indian Wells R64,W vs Sierra,1.07,2.85,28.8,2.1,5.0%,70.0%,0.0%,77.8%,52.6%,88.9%
2026 Dubai QF,L vs Anisimova,0.92,0.93,87.7,13.2,6.7%,51.7%,3.4%,50.0%,44.8%,54.5%
2026 Dubai R16,W vs Cristian,0.98,1.18,61.6,2.2,9.1%,48.5%,3.6%,53.6%,55.0%,63.9%
2026 Doha R16,L vs Mboko,0.94,0.89,92.4,18.1,1.9%,47.2%,2.0%,64.7%,43.2%,40.5%
2026 Australian Open R16,L vs Svitolina,0.86,0.73,56.8,2.3,3.4%,48.3%,0.0%,51.7%,41.9%,43.3%
2026 Australian Open R32,W vs Ruse,1.05,1.42,53.0,2.4,2.9%,61.8%,0.0%,66.7%,42.4%,55.2%
2026 Australian Open R64,W vs Sakkari,1.26,1.77,40.7,2.0,3.8%,65.4%,0.0%,58.3%,58.3%,47.6%
2026 Australian Open R128,W vs Vekic,0.88,1.43,55.5,4.5,0.0%,67.6%,2.9%,73.5%,53.5%,41.7%
2026 Adelaide F,W vs Mboko,0.99,2.08,37.4,3.0,4.3%,78.3%,0.0%,66.7%,53.3%,60.0%
2026 Adelaide SF,W vs Shnaider,1.04,1.49,48.1,3.0,0.0%,56.7%,14.3%,67.9%,67.7%,40.0%
2026 Adelaide QF,W vs Joint,1.00,1.70,38.6,2.3,8.3%,54.2%,0.0%,69.6%,80.8%,48.0%
2026 Adelaide R16,W vs Bouzkova,1.00,1.82,42.4,2.9,0.0%,56.0%,8.7%,82.6%,58.3%,55.0%
2026 Brisbane QF,L vs Kostyuk,0.97,0.79,71.0,2.4,4.8%,52.4%,0.0%,57.5%,39.5%,33.3%
2026 Brisbane R16,W vs Noskova,1.12,1.15,80.3,10.3,10.7%,62.5%,5.9%,66.7%,38.2%,34.6%
2026 Brisbane R32,W vs Gadecki,1.04,1.41,46.8,5.4,4.9%,63.4%,5.7%,68.6%,51.3%,41.7%
2025 Beijing R16,L vs Kartal,0.82,0.93,80.4,2.9,2.1%,66.7%,4.7%,69.8%,40.7%,31.4%
2026 (19 matches),,0.99,1.19,63.8,3.2,5.0%,59.0%,3.6%,61.2%,48.8%,46.6%
2025 (47 matches),,1.04,1.21,55.6,2.6,6.0%,61.9%,2.9%,59.3%,46.0%,45.7%
2024 (23 matches),,1.02,1.03,56.9,3.0,5.0%,53.0%,3.2%,54.8%,45.8%,47.8%
2023 (12 matches),,1.07,1.12,54.8,2.8,2.5%,61.1%,2.7%,58.3%,46.7%,36.9%
2022 (1 matches),,0.98,0.86,68.4,4.6,0.0%,51.7%,0.0%,53.6%,48.1%,34.7%
Career (102 matches),,1.03,1.15,57.6,2.8,5.0%,59.0%,3.0%,58.4%,46.6%,45.2%
