Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2019 Puerto Vallarta CH R64,L vs King,10.4%,18.8%,35.0%,15.0%,15.4%,23.1%,36.4%,23.8%,42.9%,50.0%,40.0%,5.3%,15.8%,33.3%,-68
2019 Sophia Antipolis CH R64,L vs Brown,25.9%,40.7%,38.5%,30.6%,27.6%,44.8%,38.1%,36.2%,45.5%,77.8%,100.0%,25.0%,37.5%,38.9%,-19
Career (2 matches),,18.6%,30.4%,36.7%,23.2%,21.8%,34.5%,37.2%,30.4%,44.0%,66.7%,70.0%,16.3%,27.9%,36.1%,46
