Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2024-08-05),980,18,,,,,,,,,1027,29,,
2023,650,61,,,,,,,,,,,,
2021,408,134,,,,,,,,,,,,
2020,296,206,,,,,,,,,511,117,,
2019,278,205,,,,,,,,,487,116,,
2018,276,175,,,,,,,,,424,116,,
2017,451,78,,,,,,,,,843,25,,
2016,396,90,,,,,,,,,512,83,,
2015,171,319,,,,,,,,,572,63,,
2014,359,92,,,,,,,,,740,29,,
2013,893,16,,,,,,,,,,,,
2012,843,17,,,,,,,,,879,21,,
