Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2019 Wimbledon R64,L vs Gauff,15,24,0.6,14.4%,23.1%,11,22,0.5,11.8%,23.7%,8.6%,3.2%,1.8,17.3%,9.6%
2019 Wimbledon R128,W vs Sabalenka,18,13,1.4,16.1%,11.6%,14,11,1.3,14.3%,11.2%,11.2%,3.1%,0.6,14.3%,25.0%
2018 Wimbledon R128,L vs Cirstea,9,17,0.5,6.5%,12.3%,9,16,0.6,6.6%,11.8%,2.9%,2.9%,0.9,17.4%,18.8%
2017 Wimbledon SF,L vs Muguruza,8,10,0.8,8.6%,10.8%,5,9,0.6,5.8%,10.5%,4.7%,1.2%,2.2,23.7%,10.8%
2017 Wimbledon QF,W vs Vandeweghe,8,8,1.0,7.7%,7.7%,7,7,1.0,7.4%,7.4%,4.3%,3.2%,0.5,15.4%,28.8%
2017 Wimbledon R16,W vs Martic,27,24,1.1,17.0%,15.1%,25,20,1.3,16.8%,13.4%,10.7%,5.4%,1.0,15.7%,15.1%
2017 Wimbledon R32,W vs Tsurenko,13,8,1.6,11.8%,7.3%,9,8,1.1,9.0%,8.0%,4.0%,5.0%,0.6,12.7%,20.9%
2017 Wimbledon R64,W vs Pliskova,33,26,1.3,17.1%,13.5%,27,25,1.1,15.2%,14.0%,7.9%,6.7%,1.0,14.5%,14.5%
2017 Wimbledon R128,W vs Niculescu,28,19,1.5,23.9%,16.2%,27,19,1.4,23.5%,16.5%,12.2%,11.3%,0.6,15.4%,23.9%
2017 Roland Garros R64,L vs Duque Marino,18,42,0.4,8.9%,20.7%,14,37,0.4,7.5%,19.9%,5.4%,1.6%,0.8,16.3%,20.7%
2017 Roland Garros R128,W vs Vandeweghe,12,10,1.2,12.2%,10.2%,7,10,0.7,7.9%,11.2%,3.4%,4.5%,0.6,15.3%,27.6%
2016 Wimbledon R128,L vs Bouchard,12,21,0.6,9.4%,16.5%,11,16,0.7,9.6%,13.9%,5.2%,4.3%,1.3,20.5%,15.7%
2016 Roland Garros R128,L vs Williams,8,18,0.4,10.7%,24.0%,4,13,0.3,6.6%,21.3%,6.6%,0.0%,5.0,33.3%,6.7%
2016 Australian Open R64,L vs Davis,15,26,0.6,15.0%,26.0%,11,26,0.4,12.5%,29.5%,6.8%,3.4%,1.1,19.0%,17.0%
2016 Australian Open R128,W vs Wickmayer,32,36,0.9,15.4%,17.3%,21,29,0.7,11.9%,16.4%,9.0%,2.8%,0.8,19.2%,25.5%
2015 Wimbledon R32,L vs Govortsova,18,22,0.8,11.5%,14.0%,13,21,0.6,8.7%,14.1%,4.7%,4.0%,1.3,17.8%,13.4%
2015 Wimbledon R64,W vs Makarova,26,5,5.2,23.2%,4.5%,15,5,3.0,14.9%,5.0%,7.9%,5.9%,0.9,16.1%,17.0%
2015 Wimbledon R128,W vs Knapp,8,19,0.4,7.0%,16.7%,6,16,0.4,5.9%,15.8%,3.0%,2.0%,0.6,15.8%,28.1%
2015 Roland Garros R64,L vs Pennetta,8,19,0.4,9.2%,21.8%,8,15,0.5,10.0%,18.8%,5.0%,5.0%,1.8,25.3%,13.8%
2015 Roland Garros R128,W vs Rogowska,20,20,1.0,11.6%,11.6%,16,19,0.8,10.0%,11.9%,6.9%,3.1%,0.6,16.2%,26.0%
Career (31 matches),,567,664,0.9,14.5%,16.9%,454,599,0.8,12.6%,16.7%,6.9%,4.0%,0.9,17.1%,18.5%
