Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2022-07-25),1396,3,,,,,,,,,,,,
2020,142,458,144,1548,143,1494,123,1531,,,456,93,,
2019,169,301,180,1569,177,1516,152,1533,,,564,64,,
2018,276,140,301,1349,301,1295,259,1386,237,1318,249,204,,
2018,276,140,301,1349,301,1295,259,1386,237,1318,249,204,,
2017,253,204,275,1405,285,1339,244,1393,213,1382,415,133,,
2016,345,134,,,,,,,,,331,202,,
2015,368,120,,,,,,,,,415,154,,
2014,488,74,,,,,,,,,343,181,,
2013,503,70,,,,,,,,,1374,12,,
2012,480,74,,,,,,,,,676,62,,
2011,633,33,,,,,,,,,1065,20,,
2010,1023,6,,,,,,,,,1183,12,,
