Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2024 US Open R64,L vs Tiafoe,100.6,112.5,6.9,113.3,109.4,123,99,89.1,5.1,94.5,,100,79
2024 US Open R128,W vs Koepfer,101.7,107.3,11.2,111.0,102.7,125,64,91.1,7.7,94.9,87.5,119,75
2023 US Open R128,L vs Norrie,104.9,113.6,8.7,117.4,109.5,131,98,90.2,4.3,86.0,90.8,97,80
Career (3 matches),,102.4,110.1,9.7,113.2,106.2,131,64,90.3,6.0,94.2,88.8,119,75
