Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2026 Australian Open R64,L vs Tien,3.9,4.1,3.8,46.3%,37.0%,31.8%,20.0%,48.8%,6.5%,-16.0,-13.0,-1.5,-1.1
2026 Adelaide QF,L vs Humbert,3.6,3.3,3.8,24.5%,40.9%,41.7%,50.0%,51.8%,16.7%,4.0,10.0,-4.0,-9.1
2025 Chengdu SF,L vs Musetti,3.7,4.0,3.3,37.3%,29.2%,50.0%,50.0%,59.8%,15.7%,-5.5,-8.2,-3.5,-8.1
2025 Gstaad R16,L vs Bublik,3.1,3.3,2.9,42.3%,50.0%,40.0%,0.0%,48.7%,16.4%,0.0,0.0,0.0,0.0
2025 Rome R128,L vs De Jong,3.9,3.7,4.2,39.7%,39.1%,46.7%,50.0%,48.1%,8.3%,1.0,1.2,-7.5,-8.7
2025 Australian Open R128,L vs Alcaraz,3.7,4.3,3.0,41.9%,33.3%,37.5%,50.0%,48.6%,9.5%,-2.0,-2.0,-14.0,-12.3
2025 United Cup SF,L vs Hurkacz,3.6,4.3,2.9,31.6%,52.4%,45.5%,50.0%,50.7%,3.0%,-7.0,-11.3,-4.0,-6.3
2024 Rome R128,W vs Marozsan,5.0,5.0,5.0,58.5%,59.1%,76.9%,46.7%,48.9%,6.8%,15.0,15.5,7.0,6.4
2024 Madrid R64,L vs Alcaraz,4.8,5.5,3.7,48.8%,28.6%,30.0%,16.7%,47.8%,7.4%,-6.5,-8.3,-3.5,-4.0
2024 Miami R64,L vs Hurkacz,3.9,4.6,3.2,37.5%,61.5%,69.6%,30.8%,50.4%,9.9%,2.0,1.6,5.5,4.7
2024 Dubai R32,L vs Medvedev,4.3,4.2,4.5,44.3%,60.0%,35.3%,33.3%,57.5%,16.4%,-9.0,-7.4,-3.5,-3.8
2024 Rotterdam R16,W vs Rune,3.4,3.2,3.7,54.5%,37.9%,8.3%,57.1%,44.0%,7.5%,9.5,12.2,-2.0,-2.0
2024 Marseille R16,L vs Hurkacz,3.6,3.7,3.4,40.7%,35.5%,23.1%,50.0%,52.8%,14.9%,-1.0,-1.4,-3.5,-6.5
2024 Brisbane R16,L vs Rune,3.5,3.8,3.1,50.8%,37.3%,45.5%,54.5%,50.0%,9.3%,5.5,4.7,7.0,6.1
2023 Metz F,L vs Humbert,3.2,3.0,3.4,41.4%,52.6%,25.0%,28.6%,43.9%,12.5%,6.0,13.0,-6.0,-10.9
2023 Metz SF,W vs Herbert,3.2,3.5,2.8,53.6%,53.8%,66.7%,75.0%,59.0%,18.6%,9.0,11.3,12.5,26.0
2023 Bastad R16,L vs Ruud,4.2,4.6,3.9,45.7%,31.8%,42.9%,21.4%,48.0%,4.8%,0.0,0.0,-6.0,-6.3
2023 Wimbledon R128,L vs Mannarino,3.5,3.7,3.2,45.0%,38.9%,50.0%,11.1%,49.3%,18.8%,-4.0,-3.9,-5.0,-5.6
2023 Rome R32,L vs Sinner,4.7,4.2,5.3,51.2%,33.3%,36.0%,66.7%,55.1%,6.9%,-2.0,-1.1,-3.5,-2.4
2023 Madrid R32,L vs Medvedev,4.9,5.5,4.4,40.7%,54.9%,61.5%,41.9%,50.5%,8.1%,1.0,0.4,-3.0,-1.4
Career (24 matches),,4.0,4.2,3.8,45.3%,44.5%,45.7%,43.9%,50.9%,10.1%,0.9,0.9,-0.7,-0.7
