Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2026 Australian Open R64,L vs Tien,20,39,0.5,10.8%,21.0%,16,38,0.4,9.4%,22.4%,6.5%,2.9%,1.3,21.5%,16.1%
2026 Adelaide QF,L vs Humbert,16,14,1.1,18.8%,16.5%,15,10,1.5,20.8%,13.9%,9.7%,5.6%,5.1,48.2%,9.4%
2025 Chengdu SF,L vs Musetti,17,22,0.8,17.9%,23.2%,13,21,0.6,15.1%,24.4%,4.7%,3.5%,2.6,30.5%,11.6%
2025 Gstaad R16,L vs Bublik,16,18,0.9,15.8%,17.8%,16,16,1.0,18.0%,18.0%,2.2%,3.4%,1.4,31.7%,22.8%
2025 Rome Masters R128,L vs De Jong,15,24,0.6,12.6%,20.2%,13,21,0.6,12.3%,19.8%,4.7%,6.6%,1.6,22.7%,14.3%
2025 Australian Open R128,L vs Alcaraz,30,34,0.9,17.6%,20.0%,30,34,0.9,18.8%,21.3%,6.9%,3.8%,1.6,30.0%,18.2%
2025 United Cup SF,L vs Hurkacz,2,19,0.1,2.1%,20.0%,1,18,0.1,1.2%,21.7%,0.0%,1.2%,1.1,23.2%,21.1%
2024 US Open R64,L vs Tiafoe,17,21,0.8,14.2%,17.5%,14,14,1.0,13.5%,13.5%,8.7%,4.8%,1.4,19.2%,13.3%
2024 US Open R128,W vs Koepfer,32,50,0.6,12.3%,19.2%,23,42,0.5,9.8%,17.9%,5.6%,2.6%,0.5,11.2%,21.9%
2024 Wimbledon R128,L vs Humbert,35,52,0.7,11.9%,17.6%,24,44,0.5,9.2%,16.9%,5.8%,3.5%,1.2,18.3%,15.3%
2024 Rome Masters R128,W vs Marozsan,32,20,1.6,31.1%,19.4%,30,20,1.5,30.3%,20.2%,15.2%,8.1%,0.9,17.5%,20.4%
2024 Madrid Masters R64,L vs Alcaraz,9,20,0.5,9.7%,21.5%,9,20,0.5,9.8%,21.7%,0.0%,2.2%,1.9,35.5%,18.3%
2024 Miami Masters R64,L vs Hurkacz,25,22,1.1,14.0%,12.3%,20,21,1.0,13.9%,14.6%,9.7%,4.2%,1.4,26.3%,18.4%
2024 Dubai R32,L vs Medvedev,32,44,0.7,23.9%,32.8%,27,41,0.7,22.7%,34.5%,11.8%,2.5%,0.9,14.2%,16.4%
2024 Rotterdam R16,W vs Rune,21,22,1.0,14.3%,15.0%,15,21,0.7,11.5%,16.0%,7.6%,3.8%,1.6,19.0%,12.2%
2024 Marseille R16,L vs Hurkacz,13,21,0.6,12.4%,20.0%,9,21,0.4,10.3%,24.1%,6.9%,3.4%,3.4,32.4%,9.5%
2024 Brisbane R16,L vs Rune,30,25,1.2,15.1%,12.6%,25,23,1.1,14.0%,12.9%,8.4%,5.1%,1.6,23.6%,15.1%
2023 Metz F,L vs Humbert,12,13,0.9,12.0%,13.0%,8,11,0.7,8.9%,12.2%,5.6%,1.1%,1.7,20.0%,12.0%
2023 Metz SF,W vs Herbert,22,12,1.8,18.2%,9.9%,13,12,1.1,13.1%,12.1%,7.1%,5.1%,1.6,18.2%,11.6%
2023 US Open R128,L vs Norrie,19,32,0.6,13.0%,21.9%,12,30,0.4,9.3%,23.3%,6.2%,3.1%,1.2,17.1%,14.4%
Career (28 matches),,585,765,0.8,14.5%,19.0%,485,700,0.7,13.5%,19.4%,7.3%,3.9%,1.2,20.7%,17.1%
