Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,83,38,45,45.8%,91-114,44.4%,952-1083,46.8%,26-19,57.8%,79,75.9%,16.7%,7.2%,3.2%,60.8%,70.3%,49.3%,62.1%,34.1%,48.2%,0.90
Clay,42,18,24,42.9%,46-56,45.1%,462-506,47.7%,6-6,50.0%,40,69.9%,25.4%,4.8%,3.4%,58.8%,64.8%,48.2%,58.0%,39.1%,48.7%,0.93
Grass,5,1,4,20.0%,4-11,26.7%,62-90,40.8%,2-2,50.0%,5,69.4%,11.8%,7.6%,3.8%,62.3%,69.7%,43.3%,59.7%,31.0%,45.5%,0.77
Grand Slams,17,5,12,29.4%,21-40,34.4%,242-325,42.7%,4-3,57.1%,17,64.9%,19.7%,5.3%,3.6%,58.8%,65.0%,45.0%,56.8%,36.2%,46.6%,0.84
Masters,26,12,14,46.2%,30-33,47.6%,293-323,47.6%,9-5,64.3%,26,76.2%,18.1%,6.0%,3.4%,59.2%,69.0%,50.7%,61.5%,35.7%,48.7%,0.93
Other Tours,83,38,45,45.8%,86-104,45.3%,905-996,47.6%,21-18,53.8%,81,75.5%,19.4%,7.0%,3.2%,61.0%,69.4%,49.1%,61.5%,35.3%,48.6%,0.92
Best of 5,17,5,12,29.4%,21-40,34.4%,242-325,42.7%,4-3,57.1%,17,64.9%,19.7%,5.3%,3.6%,58.8%,65.0%,45.0%,56.8%,36.2%,46.6%,0.84
Best of 3,113,52,61,46.0%,120-141,46.0%,1234-1354,47.7%,30-24,55.6%,107,75.7%,19.0%,6.7%,3.3%,60.5%,69.3%,49.5%,61.5%,35.4%,48.6%,0.92
Finals,1,0,1,0.0%,0-2,0.0%,6-12,33.3%,0-0,-,1,66.7%,0.0%,7.3%,3.6%,61.8%,73.5%,42.9%,61.8%,17.8%,42.0%,0.47
Semi-finals,3,1,2,33.3%,2-4,33.3%,21-32,39.6%,0-0,-,3,69.2%,11.1%,7.4%,1.2%,67.5%,61.8%,50.9%,58.3%,29.7%,44.7%,0.71
Quarter-finals,9,2,7,22.2%,7-15,31.8%,97-119,44.9%,1-3,25.0%,9,79.0%,12.1%,7.0%,2.6%,62.3%,70.1%,53.5%,63.9%,31.8%,47.6%,0.88
vs Righties,112,53,59,47.3%,127-148,46.2%,1296-1423,47.7%,31-24,56.4%,107,74.9%,19.9%,6.4%,3.2%,59.9%,69.2%,48.8%,61.0%,36.0%,48.7%,0.92
vs Lefties,18,4,14,22.2%,14-33,29.8%,180-256,41.3%,3-3,50.0%,17,66.7%,14.9%,6.7%,3.9%,62.0%,64.6%,47.3%,58.0%,33.1%,45.7%,0.79
vs Top 10,14,3,11,21.4%,10-26,27.8%,148-212,41.1%,5-4,55.6%,14,68.8%,12.6%,4.7%,2.2%,61.8%,66.3%,44.1%,57.8%,30.4%,45.1%,0.72
