Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,10,Hard,18,8,10,44.4%,9,4,5,44.4%,1988,1998,R32,14,0.97,5.7%,2.8%,59.1%,69.6%,47.6%,60.6%,38.2%,60.0%,39.0%
Roland Garros,11,Clay,17,6,11,35.3%,4,3,1,75.0%,1988,1998,R32,12,0.92,4.8%,2.3%,58.8%,69.4%,44.1%,59.0%,37.5%,58.4%,41.5%
Wimbledon,13,Grass,22,9,13,40.9%,21,10,11,47.6%,1987,1999,R16,14,0.95,5.4%,3.9%,59.5%,73.1%,45.2%,61.8%,36.4%,57.1%,34.9%
US Open,12,Hard,20,8,12,40.0%,9,4,5,44.4%,1987,1999,R16,12,0.93,3.9%,3.9%,53.2%,70.8%,50.2%,61.1%,36.1%,56.6%,34.4%
Olympics,1,,1,0,1,0.0%,2,1,1,50.0%,1996,1996,R64,0,,,,,,,,,,
Davis Cup,1,,1,1,0,100.0%,0,0,0,-,1993,1993,,0,,,,,,,,,,
Memphis,12,Hard,28,16,12,57.1%,9,4,5,44.4%,1987,2000,QF,19,1.08,8.1%,3.2%,53.7%,73.3%,50.3%,62.6%,40.3%,63.4%,41.1%
Indianapolis,11,Hard,29,18,11,62.1%,10,6,4,60.0%,1987,1999,SF,17,1.11,5.1%,3.8%,51.2%,73.1%,54.6%,64.1%,39.8%,56.5%,44.8%
Miami Masters,10,Hard,18,8,10,44.4%,8,6,2,75.0%,1990,1999,SF,15,1.02,3.4%,4.1%,58.0%,69.6%,49.3%,61.0%,39.6%,54.6%,40.4%
Washington,9,Hard,24,15,9,62.5%,8,5,3,62.5%,1986,1996,SF,15,1.08,6.5%,2.2%,57.0%,69.2%,53.9%,62.6%,40.4%,52.2%,44.0%
Cincinnati Masters,9,Hard,13,4,9,30.8%,7,2,5,28.6%,1990,1999,R32,11,0.94,6.3%,3.2%,51.3%,71.2%,50.1%,60.9%,36.6%,71.6%,34.7%
Philadelphia,8,Hard,19,11,8,57.9%,6,2,4,33.3%,1988,1998,QF,12,1.09,7.6%,2.1%,53.8%,71.2%,56.0%,64.2%,39.1%,61.4%,43.0%
