Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2022,143,385,160,1610,123,1604,177,1533,109,1559,,,,
2021,122,597,137,1637,107,1632,134,1580,99,1573,,,,
2020,63,1005,58,1758,47,1736,69,1678,,,357,135,,
2019,55,955,55,1789,54,1750,48,1731,33,1709,295,180,119,1537
2018,30,1370,35,1824,32,1783,35,1769,34,1708,192,330,,
2017,89,610,51,1805,42,1773,46,1767,43,1698,824,45,117,1431
2016,25,1585,24,1920,24,1868,24,1865,24,1788,263,270,119,1508
2015,15,2145,17,1951,18,1886,18,1884,15,1837,253,270,123,1488
2014,21,1730,26,1886,21,1845,28,1832,27,1751,432,135,,
2013,19,1790,22,1915,21,1867,20,1871,29,1760,279,225,123,1467
2012,16,2165,20,1928,19,1873,16,1880,33,1743,156,450,120,1467
2011,12,2165,23,1916,24,1851,21,1854,33,1742,543,90,,
2010,41,1005,25,1898,19,1864,58,1735,33,1725,,,,
2009,15,2275,20,1937,15,1917,28,1816,24,1777,328,180,127,1456
2008,7,1980,10,2012,10,1951,10,1937,19,1793,278,200,131,1449
2007,29,955,38,1839,45,1751,23,1840,45,1685,137,395,127,1431
2006,45,801,79,1709,71,1669,69,1695,66,1603,329,161,,
2005,124,365,165,1581,157,1533,141,1559,123,1517,394,111,,
2004,177,249,264,1451,236,1424,292,1362,,,628,51,,
2003,487,47,,,,,,,,,919,21,,
2002,1331,1,,,,,,,,,,,,
