Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,528,302,226,57.2%,718-603,54.4%,6684-6222,51.8%,108-109,49.8%,520,77.6%,25.9%,5.8%,3.0%,57.3%,70.2%,52.1%,62.5%,39.4%,50.9%,1.05
Clay,269,149,120,55.4%,364-328,52.6%,3281-3207,50.6%,33-41,44.6%,256,70.7%,30.8%,4.1%,2.7%,57.0%,66.0%,49.7%,59.0%,41.7%,50.4%,1.02
Grass,96,53,43,55.2%,150-125,54.5%,1424-1353,51.3%,32-25,56.1%,93,81.1%,21.1%,5.8%,2.8%,59.2%,72.6%,51.8%,64.1%,37.1%,50.7%,1.03
Carpet,11,4,7,36.4%,11-19,36.7%,154-162,48.7%,1-8,11.1%,9,80.5%,19.5%,8.5%,2.4%,53.9%,71.4%,55.6%,64.1%,34.9%,49.9%,0.97
Grand Slams,152,91,61,59.9%,306-243,55.7%,2748-2523,52.1%,33-39,45.8%,151,77.3%,26.8%,5.2%,2.8%,58.5%,69.4%,51.6%,62.0%,39.6%,51.0%,1.04
Masters,235,125,110,53.2%,279-273,50.5%,2672-2625,50.4%,38-38,50.0%,233,74.3%,26.3%,4.8%,3.0%,56.1%,67.8%,51.8%,60.8%,39.4%,50.2%,1.00
Other Tours,495,282,213,57.0%,627-522,54.6%,5787-5451,51.5%,99-96,50.8%,488,76.2%,26.7%,5.6%,2.8%,57.5%,70.0%,51.1%,62.0%,39.9%,50.8%,1.05
Best of 5,165,95,70,57.6%,323-272,54.3%,2963-2765,51.7%,34-47,42.0%,152,77.4%,26.8%,5.2%,2.8%,58.6%,69.3%,51.6%,62.0%,39.7%,51.0%,1.04
Best of 3,739,413,326,55.9%,920-803,53.4%,8580-8179,51.2%,140-136,50.7%,726,75.7%,26.6%,5.3%,2.9%,57.0%,69.3%,51.3%,61.6%,39.7%,50.6%,1.03
Finals,22,14,8,63.6%,32-19,62.7%,270-245,52.4%,7-7,50.0%,22,81.9%,22.3%,4.9%,1.5%,58.4%,70.0%,52.5%,62.7%,38.2%,50.7%,1.02
Semi-finals,52,22,30,42.3%,52-67,43.7%,557-615,47.5%,13-10,56.5%,51,74.4%,20.6%,5.0%,2.5%,58.9%,68.3%,50.8%,61.1%,36.3%,48.9%,0.93
Quarter-finals,100,51,49,51.0%,120-118,50.4%,1164-1179,49.7%,27-13,67.5%,100,74.5%,24.1%,5.1%,2.6%,57.8%,69.5%,50.0%,61.3%,39.0%,50.1%,1.01
vs Righties,802,453,349,56.5%,1106-954,53.7%,10260-9720,51.4%,152-165,47.9%,779,76.1%,26.8%,5.2%,2.8%,57.4%,69.2%,51.3%,61.6%,39.8%,50.7%,1.04
vs Lefties,101,54,47,53.5%,135-121,52.7%,1271-1218,51.1%,22-18,55.0%,98,76.0%,25.1%,5.9%,3.1%,57.1%,69.8%,52.0%,62.2%,39.0%,50.6%,1.03
vs Top 10,128,34,94,26.6%,106-229,31.6%,1410-1783,44.2%,9-31,22.5%,124,68.9%,20.6%,3.9%,2.4%,57.6%,65.1%,48.6%,58.1%,36.5%,47.6%,0.87
