Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2022 Paris R16,L vs Auger Aliassime,14.5%,20.0%,42.6%,18.4%,21.9%,31.3%,48.0%,28.4%,76.9%,10.5%,20.0%,4.3%,4.3%,36.4%,-79
2022 Paris R32,W vs Fritz,20.5%,25.0%,56.3%,24.4%,22.7%,30.3%,62.7%,29.2%,67.7%,17.1%,0.0%,18.2%,18.2%,47.2%,-13
2022 Paris R64,W vs Murray,18.9%,32.6%,54.1%,28.5%,18.9%,39.6%,60.5%,36.0%,65.4%,33.3%,33.3%,20.5%,25.6%,45.2%,29
2022 Brest CH R32,W vs Lokoli,37.3%,43.1%,53.1%,39.2%,41.7%,47.2%,52.4%,44.4%,73.7%,23.5%,0.0%,26.7%,33.3%,54.5%,-79
2022 Metz R32,W vs Goffin,22.4%,36.7%,63.9%,30.8%,32.3%,54.8%,61.9%,45.5%,57.1%,29.4%,-,6.3%,6.3%,66.7%,-57
2022 Rennes CH R32,L vs Thiem,20.0%,28.7%,50.0%,25.1%,29.8%,44.7%,57.6%,38.5%,66.7%,45.0%,50.0%,6.5%,6.5%,41.4%,-51
2022 s Hertogenbosch R16,L vs Medvedev,19.7%,26.3%,52.5%,24.6%,22.0%,32.0%,51.3%,29.4%,87.5%,23.1%,0.0%,16.7%,16.7%,55.0%,37
2022 Roland Garros R32,L vs Cilic,10.8%,12.2%,34.4%,12.3%,15.0%,17.5%,38.2%,17.8%,42.9%,21.1%,0.0%,6.3%,6.3%,30.0%,-53
2022 Roland Garros R64,W vs Johnson,25.5%,32.4%,52.7%,33.1%,25.7%,33.8%,56.4%,36.2%,63.6%,22.0%,0.0%,26.9%,30.8%,42.1%,29
2022 Roland Garros R128,W vs Carreno Busta,12.6%,21.0%,51.7%,19.1%,13.6%,24.7%,55.7%,25.1%,69.4%,24.4%,20.0%,12.3%,17.5%,46.0%,6
2021 Moscow QF,L vs Karatsev,20.9%,20.9%,38.5%,21.8%,34.3%,34.3%,52.2%,36.0%,66.7%,15.0%,0.0%,6.5%,6.5%,27.6%,-49
2021 Moscow R16,W vs Mcdonald,27.3%,34.1%,62.1%,32.0%,33.3%,47.6%,78.6%,43.3%,60.0%,36.4%,-,25.0%,25.0%,46.7%,118
2021 Roland Garros R128,L vs Fucsovics,5.8%,9.1%,47.7%,8.4%,6.3%,10.5%,46.1%,9.7%,36.2%,54.2%,55.6%,4.3%,4.3%,54.5%,-76
2020 Paris R64,L vs Paul,20.0%,23.2%,49.3%,22.2%,21.2%,26.9%,53.7%,25.2%,76.9%,34.6%,40.0%,21.1%,21.1%,43.3%,87
2020 Marseille QF,W vs Medvedev,35.1%,40.5%,73.9%,42.7%,52.2%,60.9%,81.8%,64.3%,75.0%,40.0%,-,7.7%,7.7%,66.7%,-39
2020 Rotterdam R16,L vs Monfils,15.7%,19.6%,35.7%,19.0%,24.0%,28.0%,36.8%,30.8%,61.5%,8.3%,50.0%,8.0%,12.0%,34.8%,-33
2020 ATP Cup RR,W vs Harris,18.6%,18.6%,57.7%,20.3%,21.3%,21.3%,67.6%,23.8%,84.0%,22.7%,50.0%,16.7%,16.7%,33.3%,25
2019 Tokyo R32,W vs Andujar,15.4%,20.5%,59.4%,16.7%,13.6%,18.2%,57.9%,15.9%,44.4%,30.8%,0.0%,18.8%,25.0%,61.5%,10
2019 Washington R32,L vs Kyrgios,33.8%,41.5%,55.0%,38.9%,32.6%,39.5%,58.6%,40.2%,47.1%,42.3%,33.3%,42.1%,52.6%,45.5%,65
2019 Queens Club F,L vs Lopez,14.9%,19.3%,58.3%,19.7%,21.3%,29.5%,70.8%,30.3%,65.4%,45.7%,66.7%,7.7%,7.7%,45.8%,-51
Career (79 matches),,20.6%,27.7%,51.7%,25.4%,25.9%,35.5%,55.5%,33.9%,62.5%,35.6%,36.0%,13.9%,17.4%,46.4%,18
