Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
1989 Wimbledon SF,L vs Graf,21.8%,27.3%,36.8%,25.6%,28.2%,31.0%,38.1%,61.1%,66.7%,18.2%,36.4%,55.6%,0.0%,57.1%,33.3%,25
1989 Houston F,L vs Seles,11.3%,17.5%,48.4%,17.8%,22.2%,59.5%,55.6%,48.1%,33.3%,3.8%,15.4%,32.0%,0.0%,33.3%,66.7%,-80
1989 Key Biscayne F,L vs Sabatini,6.9%,11.1%,43.1%,9.6%,15.4%,51.1%,32.0%,51.9%,66.7%,0.0%,0.0%,22.2%,0.0%,66.7%,40.0%,-119
1989 Boca Raton F,L vs Graf,17.1%,20.7%,51.6%,18.4%,22.4%,52.5%,11.5%,43.5%,66.7%,18.5%,22.2%,50.0%,0.0%,36.8%,50.0%,17
1988 Wimbledon SF,L vs Navratilova,6.3%,12.5%,50.5%,8.0%,14.8%,53.1%,51.4%,17.6%,0.0%,0.0%,7.1%,35.7%,37.5%,50.0%,-,-119
1988 Roland Garros R32,L vs Sanchez Vicario,3.2%,8.5%,40.2%,3.8%,10.3%,42.7%,27.3%,62.2%,55.6%,0.0%,0.0%,25.0%,0.0%,100.0%,-,-119
1988 Houston F,W vs Navratilova,13.6%,13.6%,56.9%,11.9%,11.9%,59.5%,56.3%,34.6%,25.0%,17.6%,17.6%,50.0%,0.0%,0.0%,0.0%,-104
1988 Tampa F,W vs Sanchez Vicario,9.8%,13.1%,58.5%,11.9%,16.7%,62.2%,26.3%,56.5%,66.7%,5.9%,5.9%,50.0%,0.0%,63.6%,-,-55
1988 Key Biscayne F,L vs Graf,6.2%,16.0%,51.4%,6.9%,19.0%,50.0%,21.4%,56.7%,57.1%,5.3%,10.5%,55.6%,0.0%,88.9%,50.0%,-69
1988 Australian Open F,L vs Graf,11.8%,15.7%,50.0%,10.3%,12.8%,48.6%,25.0%,68.4%,100.0%,22.2%,33.3%,57.1%,50.0%,71.4%,50.0%,73
1988 Australian Open SF,W vs Navratilova,8.3%,13.9%,56.5%,7.3%,10.9%,62.7%,44.0%,13.3%,0.0%,15.4%,30.8%,27.3%,33.3%,14.3%,0.0%,35
1988 Australian Open QF,W vs Porwik,21.4%,31.0%,65.6%,12.1%,21.2%,69.0%,50.0%,47.1%,100.0%,62.5%,75.0%,33.3%,33.3%,20.0%,-,30
1987 Los Angeles F,L vs Graf,15.3%,18.6%,35.6%,14.3%,19.0%,41.7%,5.3%,65.2%,57.1%,25.0%,25.0%,11.1%,0.0%,83.3%,100.0%,68
1987 Federation Cup F RR,L vs Graf,16.7%,16.7%,40.5%,26.9%,26.9%,47.4%,8.3%,71.4%,100.0%,5.3%,5.3%,33.3%,0.0%,66.7%,0.0%,-66
1987 Wimbledon SF,L vs Navratilova,4.8%,10.5%,56.6%,5.9%,9.4%,53.8%,66.7%,37.2%,33.3%,0.0%,15.8%,68.4%,0.0%,30.8%,0.0%,-119
1987 Roland Garros SF,L vs Navratilova,1.7%,1.7%,34.5%,0.0%,0.0%,38.0%,53.6%,13.6%,0.0%,16.7%,16.7%,0.0%,0.0%,40.0%,0.0%,25
1987 Key Biscayne F,L vs Graf,14.0%,14.0%,23.5%,17.9%,17.9%,30.4%,25.0%,50.0%,100.0%,8.3%,8.3%,9.1%,0.0%,60.0%,100.0%,-36
1986 US Open SF,L vs Sukova,12.0%,18.0%,46.2%,12.5%,18.8%,46.4%,18.8%,68.8%,66.7%,15.4%,23.1%,45.5%,25.0%,40.0%,50.0%,17
1986 Wimbledon SF,L vs Mandlikova,15.7%,21.7%,44.1%,16.2%,20.6%,45.6%,51.7%,48.7%,33.3%,15.4%,30.8%,36.4%,12.5%,40.0%,-,35
1986 Roland Garros F,W vs Navratilova,11.6%,22.1%,54.3%,11.9%,19.4%,54.2%,81.8%,50.0%,40.0%,15.4%,46.2%,54.5%,0.0%,60.0%,100.0%,2
Career (73 matches),,10.9%,17.4%,52.1%,10.3%,16.1%,53.8%,40.6%,44.7%,43.7%,15.1%,25.3%,46.1%,25.1%,38.6%,44.7%,33
