Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
1989 Wimbledon SF,L vs Graf,5.1,5.0,5.2,42.1%,52.2%,23.1%,35.3%,55.3%,13.3%,-2.5,-2.3,1.0,1.1
1989 Houston F,L vs Seles,6.8,6.0,7.8,50.0%,51.6%,51.9%,38.2%,53.8%,4.9%,7.5,3.2,-4.5,-2.2
1989 Key Biscayne F,L vs Sabatini,9.2,9.4,8.9,43.6%,38.2%,45.0%,42.4%,46.1%,15.0%,-14.5,-7.1,-1.5,-0.5
1989 Boca Raton F,L vs Graf,5.3,6.1,4.5,44.7%,50.0%,56.0%,44.8%,48.7%,15.1%,8.0,5.0,-3.0,-1.8
1988 Wimbledon SF,L vs Navratilova,4.6,5.9,2.9,38.3%,48.1%,63.0%,42.9%,44.3%,5.7%,10.5,7.7,22.0,13.0
1988 Roland Garros R32,L vs Sanchez Vicario,12.2,11.8,12.7,34.3%,41.9%,57.1%,51.6%,39.1%,3.7%,9.5,2.6,-14.5,-2.5
1988 Houston F,W vs Navratilova,6.2,7.1,5.3,60.5%,55.6%,93.8%,40.9%,58.2%,1.6%,14.0,8.3,0.5,0.4
1988 Tampa F,W vs Sanchez Vicario,8.2,7.9,8.5,56.4%,57.1%,27.8%,61.4%,50.1%,5.8%,3.0,1.2,-3.5,-1.4
1988 Key Biscayne F,L vs Graf,7.2,8.0,6.1,40.7%,54.2%,46.2%,40.0%,47.7%,10.3%,0.5,0.3,-3.5,-1.7
1988 Australian Open F,L vs Graf,6.7,7.3,6.2,34.8%,40.9%,52.6%,51.9%,55.7%,7.2%,-0.5,-0.3,-1.0,-0.7
1988 Australian Open SF,W vs Navratilova,4.7,5.6,3.8,54.7%,51.2%,58.3%,64.3%,51.1%,10.1%,15.5,11.5,21.0,17.8
1988 Australian Open QF,W vs Porwik,4.0,4.7,3.2,59.5%,64.5%,55.6%,60.0%,61.8%,3.8%,16.0,21.6,10.0,23.3
1987 Los Angeles F,L vs Graf,6.2,6.8,5.5,45.8%,55.6%,43.8%,36.0%,48.7%,15.3%,-5.5,-3.9,0.0,0.0
1987 Federation Cup F RR,L vs Graf,5.0,5.0,4.9,33.3%,37.5%,60.0%,25.0%,46.5%,19.0%,-4.5,-6.0,-2.0,-2.5
1987 Wimbledon SF,L vs Navratilova,4.9,6.6,3.0,43.3%,35.8%,66.7%,56.5%,42.4%,9.9%,17.5,12.3,7.0,4.0
1987 Roland Garros SF,L vs Navratilova,6.7,8.2,4.9,34.3%,44.4%,50.0%,29.2%,36.9%,2.5%,1.5,1.4,-5.0,-2.7
1987 Key Biscayne F,L vs Graf,7.0,6.0,8.0,34.6%,36.4%,53.8%,32.0%,53.4%,11.3%,-7.0,-5.7,-4.0,-3.6
1986 US Open SF,L vs Sukova,4.0,4.9,3.4,41.9%,52.8%,41.7%,60.0%,54.0%,5.8%,8.0,9.5,7.0,8.9
1986 Wimbledon SF,L vs Mandlikova,3.8,4.5,3.0,41.1%,46.3%,56.3%,55.6%,60.6%,3.5%,20.5,17.8,2.5,3.5
1986 Roland Garros F,W vs Navratilova,6.9,7.6,6.2,47.6%,59.5%,38.1%,51.2%,56.0%,8.2%,14.0,5.1,6.0,3.1
Career (73 matches),,5.8,6.4,5.1,48.3%,50.8%,57.6%,51.2%,50.0%,7.1%,8.7,5.9,7.6,5.0
