Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
1989 Wimbledon SF,L vs Graf,0.0%,-,11.8%,46.2%,1.0%,0.0%,0.0%,3.7%,11.1%,0.9%,50.0%,-125,-86
1989 Houston F,L vs Seles,0.0%,-,12.2%,73.7%,7.3%,12.5%,5.7%,5.0%,6.5%,1.9%,22.2%,-54,-60
1989 Key Biscayne F,L vs Sabatini,0.0%,-,19.1%,58.6%,2.7%,3.6%,0.0%,3.5%,9.8%,1.1%,42.9%,-116,-120
1989 Boca Raton F,L vs Graf,0.0%,-,9.4%,75.0%,8.5%,10.5%,0.0%,5.1%,29.4%,0.0%,-,-83,-82
1988 Wimbledon SF,L vs Navratilova,0.0%,-,16.0%,61.3%,12.4%,13.0%,8.0%,12.6%,12.5%,0.0%,-,-30,-68
1988 Roland Garros R32,L vs Sanchez Vicario,0.0%,-,17.1%,76.7%,5.1%,4.2%,9.1%,1.8%,3.9%,1.2%,41.7%,-131,-134
1988 Houston F,W vs Navratilova,0.0%,-,10.7%,50.0%,7.8%,14.8%,6.4%,3.8%,8.3%,0.3%,0.0%,-138,-146
1988 Tampa F,W vs Sanchez Vicario,0.0%,-,16.2%,68.2%,4.0%,3.8%,0.0%,1.4%,3.6%,0.6%,0.0%,-104,-104
1988 Key Biscayne F,L vs Graf,0.0%,-,11.5%,68.8%,4.9%,1.4%,0.0%,4.6%,28.6%,0.2%,0.0%,-73,-83
1988 Australian Open F,L vs Graf,0.0%,-,11.4%,61.5%,5.7%,0.0%,0.0%,4.8%,9.1%,0.0%,-,-95,-85
1988 Australian Open SF,W vs Navratilova,0.0%,-,7.6%,72.7%,8.8%,20.0%,10.0%,15.6%,31.3%,0.0%,-,-39,-63
1988 Australian Open QF,W vs Porwik,0.0%,-,10.3%,77.8%,15.0%,20.0%,0.0%,30.8%,83.3%,0.7%,0.0%,3,1
1987 Los Angeles F,L vs Graf,0.0%,-,11.0%,46.2%,0.8%,0.0%,0.0%,2.5%,16.7%,0.6%,0.0%,-109,-102
1987 Federation Cup F RR,L vs Graf,0.0%,-,2.2%,50.0%,2.9%,0.0%,0.0%,2.8%,16.7%,0.0%,-,-103,-86
1987 Wimbledon SF,L vs Navratilova,0.0%,-,18.9%,62.2%,9.4%,5.6%,7.8%,9.1%,5.9%,0.5%,50.0%,-43,-80
1987 Roland Garros SF,L vs Navratilova,0.0%,-,18.2%,50.0%,6.3%,5.9%,7.7%,3.0%,7.5%,0.3%,100.0%,-100,-117
1987 Key Biscayne F,L vs Graf,0.0%,-,17.4%,46.7%,1.8%,2.6%,0.0%,3.0%,10.5%,0.4%,0.0%,-133,-128
1986 US Open SF,L vs Sukova,0.0%,-,9.2%,81.8%,14.5%,27.8%,0.0%,11.6%,23.5%,0.0%,-,-74,-73
1986 Wimbledon SF,L vs Mandlikova,1.2%,0.0%,13.7%,68.2%,17.8%,37.0%,0.0%,5.9%,8.3%,0.9%,0.0%,-16,-35
1986 Roland Garros F,W vs Navratilova,1.2%,100.0%,18.9%,54.8%,7.7%,13.5%,3.6%,6.2%,5.7%,0.0%,-,-83,-76
Career (73 matches),,0.2%,55.6%,14.0%,64.8%,8.0%,11.0%,6.3%,7.4%,14.4%,0.8%,40.1%,-77,-84
