Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,146,88,58,60.3%,188-137,57.8%,1520-1380,52.4%,16-11,59.3%,0,,,,,,,,,,,
Clay,74,45,29,60.8%,97-62,61.0%,786-629,55.5%,8-8,50.0%,0,,,,,,,,,,,
Grass,24,16,8,66.7%,31-21,59.6%,258-227,53.2%,6-1,85.7%,0,,,,,,,,,,,
Carpet,68,37,31,54.4%,84-64,56.8%,704-651,52.0%,10-10,50.0%,0,,,,,,,,,,,
Grand Slams,61,40,21,65.6%,81-51,61.4%,639-544,54.0%,7-3,70.0%,0,,,,,,,,,,,
Premiers,101,56,45,55.4%,132-99,57.1%,1106-999,52.5%,14-10,58.3%,0,,,,,,,,,,,
Internationals,26,16,10,61.5%,35-23,60.3%,299-270,52.5%,4-4,50.0%,0,,,,,,,,,,,
Finals,4,0,4,0.0%,1-8,11.1%,27-50,35.1%,0-0,-,0,,,,,,,,,,,
Semi-finals,24,4,20,16.7%,14-39,26.4%,205-287,41.7%,2-5,28.6%,0,,,,,,,,,,,
Quarter-finals,43,24,19,55.8%,49-46,51.6%,442-437,50.3%,4-6,40.0%,0,,,,,,,,,,,
vs Righties,276,161,115,58.3%,348-257,57.5%,2862-2575,52.6%,35-28,55.6%,0,,,,,,,,,,,
vs Lefties,28,18,10,64.3%,39-23,62.9%,315-254,55.4%,4-2,66.7%,0,,,,,,,,,,,
vs Top 10,77,16,61,20.8%,47-124,27.5%,630-907,41.0%,7-10,41.2%,0,,,,,,,,,,,
