Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2020 Davis Cup WG II RR,W vs Safwat,67.7%,54.5%,1.5%,1/0,2.16,3.4%,76.7%,51.5%,2.3%,1.92,7.7%,73.3%,63.6%,0.0%,2.34,0.0%
2020 Davis Cup WG II RR,W vs Maamoun,69.8%,54.1%,1.9%,1/0,1.93,9.3%,62.2%,56.5%,0.0%,1.97,22.2%,100.0%,50.0%,7.1%,1.90,0.0%
2020 Pau CH F,W vs Janowicz,50.9%,66.7%,3.8%,2/0,2.10,4.2%,44.7%,76.5%,0.0%,1.96,0.0%,66.7%,50.0%,13.3%,2.25,8.3%
2020 Pau CH R32,W vs Gombos,46.2%,40.0%,3.1%,0/2,1.97,2.5%,32.6%,33.3%,2.2%,1.89,5.0%,78.9%,46.7%,5.3%,2.05,0.0%
2020 Australian Open R128,W vs Auger Aliassime,62.1%,47.1%,2.9%,2/2,2.23,7.0%,55.8%,39.6%,3.5%,2.24,9.1%,83.0%,56.4%,2.1%,2.22,5.3%
2020 Noumea CH R32,W vs Safwat,60.3%,55.3%,3.2%,2/0,1.98,7.1%,68.8%,54.5%,6.3%,2.07,9.5%,69.6%,56.3%,0.0%,1.71,0.0%
2019 Rotterdam R32,W vs Copil,71.6%,56.3%,3.0%,2/0,2.08,38.9%,73.8%,58.1%,0.0%,1.91,60.0%,73.9%,52.9%,8.7%,2.31,12.5%
2019 Montpellier R32,W vs Hurkacz,69.1%,48.2%,1.2%,0/1,2.25,13.2%,65.3%,40.6%,2.0%,2.46,23.8%,82.8%,58.3%,0.0%,1.97,0.0%
2019 Pune R16,W vs Chung,71.0%,54.5%,8.1%,1/4,2.41,5.3%,84.4%,63.0%,9.4%,2.47,12.5%,81.0%,41.2%,9.5%,2.36,0.0%
2018 Stockholm F,L vs Tsitsipas,49.0%,36.0%,0.0%,0/0,1.88,16.7%,46.7%,35.7%,0.0%,1.85,46.2%,57.1%,33.3%,0.0%,1.89,0.0%
2018 Kaohsiung CH QF,L vs Monfils,54.2%,21.9%,3.4%,0/2,1.68,26.2%,51.5%,23.5%,0.0%,1.68,47.4%,75.0%,20.0%,10.0%,1.67,8.7%
2018 Wimbledon R32,W vs Zverev,60.6%,46.8%,0.8%,0/1,2.10,9.0%,55.0%,50.0%,1.3%,2.14,12.1%,78.6%,42.4%,0.0%,2.02,3.2%
2015 Basel R32,L vs Isner,42.0%,33.3%,8.0%,1/3,1.98,16.7%,37.5%,25.0%,3.1%,1.93,35.7%,56.3%,44.4%,18.8%,2.03,0.0%
2015 Vienna SF,L vs Johnson,53.8%,45.7%,6.2%,3/1,2.15,63.3%,46.3%,52.6%,7.3%,2.04,57.1%,72.7%,37.5%,4.5%,2.31,71.4%
2015 Canada QF,L vs Djokovic,55.0%,36.4%,2.5%,2/0,2.56,18.3%,51.0%,38.5%,3.9%,2.50,39.4%,75.0%,33.3%,0.0%,2.62,0.0%
2015 Indian Wells R32,L vs Mannarino,68.6%,34.3%,2.0%,0/1,2.20,2.4%,65.0%,30.8%,2.5%,2.32,4.3%,81.8%,44.4%,0.0%,2.05,0.0%
2015 Auckland R16,L vs Vesely,59.0%,36.1%,0.0%,0/0,2.24,12.2%,58.1%,33.3%,0.0%,2.32,20.8%,62.1%,38.9%,0.0%,2.14,4.0%
2014 Basel R32,L vs Coric,63.8%,45.5%,0.0%,0/0,2.02,17.4%,67.6%,39.1%,0.0%,1.88,28.0%,63.6%,52.4%,0.0%,2.19,4.8%
2014 Roland Garros SF,L vs Djokovic,70.3%,44.9%,1.8%,0/2,1.81,17.1%,64.9%,31.3%,0.0%,1.78,30.6%,83.3%,66.7%,5.6%,1.85,2.9%
2014 Roland Garros R16,W vs Federer,71.4%,50.4%,0.6%,1/0,1.87,52.3%,70.3%,45.1%,1.0%,1.91,63.8%,77.2%,59.1%,0.0%,1.82,38.8%
Career (28 matches),,65.2%,47.7%,2.5%,47.2%,2.06,19.6%,63.2%,45.3%,1.9%,2.04,28.7%,76.8%,51.4%,3.8%,2.09,8.9%
