Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2024-01-15),893,18,,,,,,,,,,,,
2023,896,18,,,,,,,,,,,,
2022,307,165,224,1522,202,1493,210,1492,,,,,,
2021,191,348,233,1510,197,1498,208,1476,164,1494,,,,
2020,181,351,137,1598,106,1594,136,1547,,,465,90,,
2019,226,216,181,1572,161,1546,136,1561,126,1541,441,90,,
2018,95,612,76,1731,79,1677,67,1676,40,1694,,,,
2017,199,258,95,1703,109,1636,67,1709,70,1627,,,,
2016,151,406,69,1752,72,1701,52,1742,67,1622,,,,
2015,81,655,51,1800,43,1759,39,1781,67,1640,375,180,,
2014,13,2455,17,1943,18,1879,13,1929,37,1712,575,90,,
2013,24,1393,21,1918,20,1868,30,1822,44,1703,796,45,,
2012,136,404,64,1761,59,1714,81,1682,97,1592,773,45,,
2011,61,785,63,1772,59,1713,57,1723,87,1585,538,90,,
2010,24,1505,49,1812,61,1722,31,1821,,,403,135,,
2009,90,555,70,1754,62,1700,83,1682,79,1594,131,520,77,1621
2008,53,719,30,1873,34,1808,42,1767,52,1669,306,175,,
2007,61,585,67,1758,48,1742,124,1600,109,1539,336,161,,
2006,141,328,99,1665,171,1504,122,1583,,,309,174,,
2005,418,65,,,,,,,,,1255,9,,
2004,1349,2,,,,,,,,,1760,1,,
