Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2020 Davis Cup WG II RR,W vs Safwat,3.8,3.8,3.8,56.2%,35.0%,53.8%,100.0%,46.5%,3.0%,-5.0,-7.5,5.0,5.2
2020 Davis Cup WG II RR,W vs Maamoun,4.1,3.7,4.6,52.6%,65.0%,58.3%,50.0%,37.6%,6.9%,-7.5,-11.5,-0.5,-0.4
2020 Pau CH F,W vs Janowicz,2.8,3.2,2.4,55.8%,57.1%,71.4%,40.0%,31.5%,9.2%,8.5,30.4,5.5,8.2
2020 Pau CH R32,W vs Gombos,3.1,3.5,2.7,48.2%,66.7%,40.0%,55.6%,42.2%,9.0%,-6.5,-9.8,1.0,1.1
2020 Australian Open R128,W vs Auger Aliassime,3.6,3.5,3.7,51.1%,56.9%,53.6%,45.0%,40.8%,8.7%,-5.0,-3.9,10.0,4.6
2020 Noumea CH R32,W vs Safwat,3.5,2.9,4.0,52.4%,57.9%,37.5%,66.7%,44.8%,7.9%,-2.0,-2.6,2.0,2.2
2019 Rotterdam R32,W vs Copil,3.2,2.5,3.6,54.4%,66.7%,75.0%,80.0%,39.7%,10.6%,10.0,25.0,3.5,4.8
2019 Montpellier R32,W vs Hurkacz,3.4,3.3,3.5,54.5%,56.7%,42.1%,50.0%,51.7%,11.0%,0.5,0.6,3.5,4.1
2019 Pune R16,W vs Chung,4.1,3.1,5.1,63.0%,50.0%,37.5%,50.0%,39.1%,4.5%,-3.0,-4.5,-3.0,-2.3
2018 Stockholm F,L vs Tsitsipas,3.9,4.4,3.3,38.1%,52.6%,40.0%,50.0%,37.4%,5.9%,-5.5,-10.2,-5.0,-5.3
2018 Kaohsiung CH QF,L vs Monfils,3.5,3.5,3.5,44.0%,50.0%,36.4%,40.0%,45.4%,13.7%,-15.5,-21.8,-3.0,-3.8
2018 Wimbledon R32,W vs Zverev,3.5,3.4,3.7,54.3%,51.6%,35.0%,55.6%,44.5%,18.3%,-4.0,-3.0,4.5,2.6
2015 Basel R32,L vs Isner,2.3,2.7,1.9,43.3%,30.8%,0.0%,50.0%,47.6%,25.0%,-7.0,-20.0,0.0,0.0
2015 Vienna SF,L vs Johnson,3.1,3.4,2.8,42.5%,44.1%,66.7%,33.3%,47.4%,11.0%,3.0,4.7,-3.5,-5.0
2015 Canada QF,L vs Djokovic,4.4,4.7,3.9,48.2%,29.4%,57.9%,48.0%,38.8%,12.8%,-5.5,-5.0,-11.5,-6.2
2015 Indian Wells R32,L vs Mannarino,3.9,3.4,4.6,47.4%,40.0%,40.0%,33.3%,52.6%,13.1%,-20.5,-20.3,4.0,4.8
2015 Auckland R16,L vs Vesely,3.7,4.2,3.0,40.2%,39.4%,55.6%,62.5%,48.5%,6.0%,-15.0,-19.5,0.5,0.6
2014 Basel R32,L vs Coric,3.9,3.7,4.0,41.2%,46.7%,27.3%,60.0%,48.4%,15.8%,-8.0,-9.3,-3.5,-3.8
2014 Roland Garros SF,L vs Djokovic,4.1,4.0,4.1,47.2%,40.8%,45.5%,65.0%,42.6%,8.6%,-7.5,-5.6,7.5,3.9
2014 Roland Garros R16,W vs Federer,4.3,4.3,4.2,49.2%,50.6%,77.8%,46.7%,34.5%,10.8%,-9.0,-5.4,17.5,5.5
Career (28 matches),,3.8,3.6,4.0,51.1%,49.6%,47.3%,52.7%,43.2%,10.5%,-2.8,-3.1,1.4,1.1
