Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,179,87,92,48.6%,201-201,50.0%,1868-1835,50.4%,12-24,33.3%,165,62.8%,36.5%,2.7%,4.7%,67.6%,60.4%,44.9%,55.4%,44.7%,50.1%,1.00
Clay,49,19,30,38.8%,48-64,42.9%,500-547,47.8%,4-5,44.4%,48,59.4%,35.9%,2.0%,3.9%,70.0%,58.5%,45.8%,54.7%,43.6%,49.3%,0.96
Grass,24,11,13,45.8%,23-28,45.1%,232-274,45.8%,8-2,80.0%,24,57.8%,20.2%,2.5%,3.0%,70.7%,59.4%,47.8%,56.0%,40.0%,48.2%,0.91
Grand Slams,51,23,28,45.1%,53-65,44.9%,524-580,47.5%,5-7,41.7%,50,61.3%,30.3%,1.8%,3.7%,71.1%,59.7%,46.1%,55.8%,42.8%,49.3%,0.97
Premiers,51,19,32,37.3%,47-66,41.6%,489-554,46.9%,6-6,50.0%,48,58.6%,35.8%,2.3%,4.9%,67.8%,57.5%,45.3%,53.6%,43.4%,48.7%,0.94
Internationals,106,52,54,49.1%,124-119,51.0%,1163-1130,50.7%,10-15,40.0%,103,63.4%,37.5%,3.0%,4.3%,67.8%,61.4%,44.1%,55.8%,44.9%,50.4%,1.02
Finals,3,2,1,66.7%,4-3,57.1%,40-29,58.0%,0-2,0.0%,3,79.2%,54.5%,4.4%,3.6%,69.3%,68.6%,46.4%,61.8%,46.4%,54.4%,1.21
Semi-finals,3,3,0,100.0%,6-1,85.7%,37-23,61.7%,0-0,-,3,66.7%,52.6%,4.3%,2.2%,67.4%,64.5%,51.7%,60.3%,50.3%,55.1%,1.27
Quarter-finals,16,3,13,18.8%,8-27,22.9%,132-188,41.3%,0-2,0.0%,14,59.0%,23.8%,2.9%,4.6%,66.4%,58.5%,39.5%,52.1%,40.4%,46.2%,0.84
vs Righties,226,103,123,45.6%,243-263,48.0%,2326-2392,49.3%,23-26,46.9%,215,61.4%,35.0%,2.5%,4.2%,68.5%,59.7%,45.5%,55.2%,43.9%,49.6%,0.98
vs Lefties,20,8,12,40.0%,18-28,39.1%,198-228,46.5%,1-4,20.0%,18,59.5%,38.2%,2.9%,5.8%,67.4%,60.9%,41.9%,54.7%,42.7%,48.7%,0.94
vs Top 10,25,2,23,8.0%,10-44,18.5%,191-303,38.7%,0-4,0.0%,25,47.7%,28.4%,2.0%,6.1%,66.5%,53.7%,41.8%,49.7%,40.4%,45.1%,0.80
