Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,3,Hard,4,1,3,25.0%,2,2,0,100.0%,2020,2025,Q2,4,0.97,0.9%,4.9%,63.7%,57.0%,49.2%,54.2%,44.3%,51.2%,38.6%
Roland Garros,2,Clay,2,0,2,0.0%,1,0,1,0.0%,2020,2021,Q1,2,0.76,0.0%,5.5%,67.7%,48.8%,51.2%,49.6%,38.1%,47.1%,33.3%
Wimbledon,1,Grass,1,0,1,0.0%,0,0,0,-,2021,2021,Q1,1,0.44,2.6%,7.7%,56.4%,40.9%,29.4%,35.9%,28.3%,44.4%,0.0%
US Open,7,Hard,11,4,7,36.4%,2,0,2,0.0%,2015,2024,R128,7,0.96,1.3%,6.7%,67.6%,59.3%,38.9%,52.7%,45.4%,60.7%,42.9%
Cincinnati,2,Hard,2,0,2,0.0%,0,0,0,-,2020,2025,Q1,2,0.87,0.6%,7.3%,65.9%,50.8%,37.7%,46.4%,46.6%,53.6%,90.0%
Guadalajara,2,Hard,3,1,2,33.3%,1,1,0,100.0%,2021,2022,Q2,3,0.86,1.3%,16.4%,55.8%,61.1%,37.0%,50.4%,42.7%,37.9%,64.7%
Monterrey,2,Hard,6,4,2,66.7%,1,1,0,100.0%,2018,2021,R32,6,1.11,1.1%,7.1%,63.5%,62.6%,45.0%,56.2%,48.8%,61.0%,47.1%
Newport Beach,2,Hard,2,0,2,0.0%,1,0,1,0.0%,2018,2020,R32,2,0.71,0.0%,10.3%,53.4%,50.0%,31.5%,41.4%,41.4%,42.1%,75.0%
Honolulu,2,Hard,3,1,2,33.3%,1,0,1,0.0%,2016,2017,R16,3,0.87,0.5%,5.5%,65.0%,50.0%,50.0%,50.0%,43.6%,54.8%,44.0%
Washington,3,Hard,5,2,3,40.0%,1,1,0,100.0%,2013,2017,R32,5,0.90,0.5%,6.5%,61.5%,53.9%,50.3%,52.6%,42.8%,62.7%,43.2%
