Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Australian Open R128,L vs Danilovic,25.5%,38.2%,46.5%,34.4%,52.5%,60.0%,11.1%,29.4%,50.0%,13.9%,19.4%,29.0%,37.5%,15.0%,0.0%,22
2025 US Open R128,L vs Muchova,19.5%,34.5%,50.0%,31.4%,52.9%,60.0%,19.2%,20.0%,14.3%,3.8%,11.5%,36.0%,0.0%,6.7%,0.0%,-87
2023 Wimbledon R128,L vs Svitolina,20.8%,29.2%,40.8%,34.2%,39.5%,32.0%,20.0%,22.2%,25.0%,7.7%,23.1%,50.0%,22.2%,5.9%,0.0%,-51
2023 Birmingham R32,W vs Giorgi,30.2%,38.9%,42.9%,31.7%,42.7%,50.0%,17.6%,20.8%,66.7%,30.0%,35.0%,28.6%,9.5%,5.3%,33.3%,6
2023 s Hertogenbosch R32,L vs Naef,25.3%,35.8%,47.7%,35.1%,45.6%,45.9%,24.0%,25.0%,50.0%,12.5%,25.0%,50.0%,14.3%,22.2%,0.0%,0
2023 Auckland R32,W vs Volynets,15.0%,28.3%,63.8%,20.0%,37.5%,75.0%,23.8%,21.1%,-,6.3%,12.5%,40.0%,50.0%,8.3%,0.0%,-61
2022 US Open R128,L vs Van Uytvanck,19.5%,31.0%,45.3%,28.0%,46.0%,52.8%,40.0%,16.0%,0.0%,9.7%,12.9%,35.7%,23.1%,11.1%,0.0%,-25
2021 Yarra Valley Classic R32,L vs Kvitova,30.9%,43.6%,39.0%,34.4%,52.5%,45.0%,29.0%,36.7%,42.9%,29.6%,33.3%,26.3%,9.1%,6.3%,0.0%,52
2019 Cincinnati QF,L vs Keys,31.3%,37.5%,38.9%,36.6%,46.3%,42.3%,35.0%,14.3%,25.0%,33.3%,33.3%,30.0%,0.0%,12.5%,-,131
2019 Cincinnati R64,W vs Bertens,22.7%,30.7%,49.2%,22.0%,34.0%,51.3%,41.7%,19.2%,25.0%,25.7%,28.6%,46.2%,26.7%,35.0%,66.7%,-9
2019 Wimbledon R128,L vs Gauff,27.3%,43.6%,52.8%,38.9%,55.6%,50.0%,35.0%,25.0%,0.0%,6.7%,26.7%,57.1%,66.7%,16.7%,-,-58
2019 Birmingham QF,L vs Barty,21.4%,27.1%,45.1%,18.2%,27.3%,47.2%,36.4%,18.2%,33.3%,31.8%,31.8%,40.0%,12.5%,21.4%,33.3%,82
2019 Birmingham R32,W vs Sasnovich,25.9%,32.8%,60.5%,27.5%,37.5%,62.1%,10.0%,0.0%,0.0%,30.8%,30.8%,55.6%,0.0%,0.0%,0.0%,137
2019 Roland Garros R128,L vs Svitolina,21.8%,29.1%,18.4%,31.6%,42.1%,15.4%,29.4%,19.0%,42.9%,0.0%,0.0%,25.0%,0.0%,25.0%,0.0%,-119
2019 Rome R16,L vs Konta,25.9%,35.2%,33.3%,26.5%,35.3%,32.0%,20.0%,36.8%,50.0%,26.3%,36.8%,35.7%,9.1%,25.0%,-,-43
2019 Miami R16,L vs Halep,9.8%,19.7%,47.2%,13.5%,27.0%,50.0%,17.6%,30.0%,0.0%,4.5%,9.1%,42.9%,0.0%,100.0%,100.0%,-71
2019 Indian Wells QF,L vs Kerber,15.5%,34.5%,48.6%,16.9%,35.6%,57.1%,65.4%,24.2%,25.0%,12.5%,33.3%,28.6%,91.7%,16.7%,0.0%,-56
2019 Indian Wells R64,W vs Kvitova,19.0%,29.0%,53.2%,22.2%,31.7%,49.0%,10.3%,5.9%,0.0%,15.2%,27.3%,60.7%,0.0%,5.3%,0.0%,27
2019 Indian Wells R128,W vs Petkovic,15.4%,25.6%,46.8%,19.6%,32.6%,51.4%,19.0%,4.0%,0.0%,10.7%,17.9%,40.0%,0.0%,15.4%,0.0%,-11
2019 Australian Open R32,L vs Halep,17.2%,29.7%,38.8%,21.1%,36.8%,46.7%,30.0%,38.9%,25.0%,13.6%,22.7%,26.3%,27.3%,18.2%,66.7%,14
Last 52 Weeks (2 matches),,22.8%,36.5%,48.1%,33.0%,52.7%,60.0%,15.1%,25.4%,27.3%,9.7%,16.1%,32.1%,22.2%,11.4%,0.0%,-29
Career (144 matches),,24.8%,34.1%,47.1%,31.8%,44.0%,51.0%,38.6%,26.1%,25.1%,17.2%,23.4%,41.2%,34.2%,19.3%,19.5%,48
