Date,Tournament,Surface,Rd,,Score
18-Mar-1964,Johannesburg,Hard,F,Hard / Bob Mark [AUS] d. Margaret Hunt / Frew Mcmillan [RSA],3-6 6-3 6-3
24-Feb-1964,Benoni,Hard,F,Hard / Bob Mark [AUS] d. Elizabeth Starkie [GBR] / Clive Brebnor [RSA],6-0 7-5
16-Feb-1964,Johannesburg Transvaal Chps 1,Hard,F,Hard / Keith Diepraam [RSA] d. Jean Forbes / Gordon Forbes [RSA],7-5 6-3
05-Dec-1963,La Jolla Natls,Hard,F,Hard / Hugh Stewart [USA] d. Karen Susman / Rodney Susman [USA],6-4 3-6 7-5
26-Jun-1963,Wimbledon,Grass,F,(2) Margaret Court / Ken Fletcher [AUS] d. Hard / Bob Hewitt [RSA],11-9 6-4
12-Jun-1963,Nottingham,Grass,F,Maria Bueno [BRA] / Bob Howe [AUS] d. Hard / Tony Pickard [GBR],6-2 2-6 6-2
04-Mar-1963,Barranquilla,Grass,F,Hard / Bob Hewitt [RSA] d. Edda Buding [FRG] / Nikola Pilic [CRO],6-4 7-5
21-Jan-1963,Cape Town,Hard,F,Hard / Bob Mark [AUS] d. Heather Nicholls [RSA] / Christian Kuhnke [UNK],6-1 6-3
24-Dec-1962,Port Elizabeth,Hard,F,Hard / Bob Mark [AUS] d. Heather Nicholls / Ray Weedon [RSA],7-5 6-1
24-Sep-1962,Berkeley,Hard,F,Hard / Jim Mcmanus [USA] d. Judy Tegart [AUS] / Dennis Ralston [USA],6-3 6-8 7-5
13-Sep-1962,Los Angeles Pac Southwest,Hard,F,Hard / Charlie Pasarell [USA] d. Carole Graebner / Chuck Rombeau [USA],UNK
04-Jun-1962,Manchester,Grass,F,Jill Rook / Alan Mills [GBR] d. Hard / Roger Taylor [GBR],7-5 2-6 7-5
19-Mar-1962,Caracas,Hard,F,Hard / Rod Laver [AUS] d. Christine Truman [GBR] / Roy Emerson [AUS],7-5 7-5
05-Jan-1962,Australian Championships,Grass,F,(1) Lesley Turner / Fred Stolle [AUS] d. (2) Hard / Roger Taylor [GBR],6-3 9-7
01-Sep-1961,US National Championships,Grass,F,Margaret Court / Bob Mark [AUS] d. Hard / Dennis Ralston [USA],W/O
18-May-1961,Roland Garros,Clay,F,Hard / Rod Laver [AUS] d. Jan Lehane [AUS] / Bob Hewitt [RSA],6-0 2-6 6-3
20-Jun-1960,Wimbledon,Grass,F,(1) Hard / Rod Laver [AUS] d. (2) Maria Bueno [BRA] / Bob Howe [AUS],13-11 3-6 8-6
22-Jun-1959,Wimbledon,Grass,F,(3) Hard / Rod Laver [AUS] d. (2) Maria Bueno [BRA] / Neale Fraser [AUS],6-4 6-3
29-Aug-1957,US National Championships,Grass,F,Althea Gibson [USA] / Kurt Nielsen [DEN] d. Hard / Bob Howe [AUS],6-3 9-7
24-Jun-1957,Wimbledon,Grass,F,(4) Hard / Mervyn Rose [AUS] d. (2) Althea Gibson [USA] / Neale Fraser [AUS],6-4 7-5
