Date,Tournament,Surface,Rd,,Score
27-Oct-1969,Richmond,Clay,F,Peaches Bartkowicz / Stephanie Defina [USA] d. Hard / Valerie Ziegenfuss [USA],6-3 2-6 6-3
28-Aug-1969,US Open,Grass,F,(2) Hard / Francoise Durr [FRA] d. (3) Margaret Court [AUS] / Virginia Wade [GBR],0-6 6-3 6-4
18-Mar-1964,Johannesburg,Hard,F,Hard / Maria Bueno [BRA] d. Margaret Hunt / Annette Van Zyl [RSA],6-4 6-8 6-0
09-Mar-1964,Bloemfontein,Hard,F,Hard / Maria Bueno [BRA] d. Deidre Catt / Elizabeth Starkie [GBR],6-3 6-2
02-Mar-1964,Pretoria Northern Transvaal Chps,Hard,F,Hard / Maria Bueno [BRA] d. Margaret Hunt / Annette Van Zyl [RSA],8-6 7-5
28-Aug-1963,US National Championships,Grass,F,(2) Robyn Ebbern / Margaret Court [AUS] d. (1) Hard / Maria Bueno [BRA],4-6 10-8 6-3
26-Jun-1963,Wimbledon,Grass,F,(2) Hard / Maria Bueno [BRA] d. (1) Robyn Ebbern / Margaret Court [AUS],8-6 9-7
31-Aug-1962,US National Championships,Grass,F,(1) Hard / Maria Bueno [BRA] d. (2) Billie Jean King / Karen Susman [USA],4-6 6-3 6-2
05-Jan-1962,Australian Championships,Grass,F,(2) Robyn Ebbern / Margaret Court [AUS] d. (1) Hard / Mary Carter Reitano [AUS],6-4 6-4
01-Sep-1961,US National Championships,Grass,F,(4) Hard / Lesley Turner [AUS] d. Edda Buding [FRG] / Yola Ramirez [MEX],6-4 5-7 6-0
18-May-1961,Roland Garros,Clay,F,Sandra Reynolds / Renee Schuurman [RSA] d. Hard / Maria Bueno [BRA],W/O
02-Sep-1960,US National Championships,Grass,F,(1) Hard / Maria Bueno [BRA] d. (1) Deidre Catt / Ann Jones [GBR],6-1 6-1
20-Jun-1960,Wimbledon,Grass,F,(1) Hard / Maria Bueno [BRA] d. (4) Sandra Reynolds / Renee Schuurman [RSA],6-4 6-0
17-May-1960,Roland Garros,Clay,F,(2) Hard / Maria Bueno [BRA] d. (4) Patricia Ward Hales / Ann Jones [GBR],6-2 7-5
06-Sep-1959,US National Championships,Grass,F,(1) Hard / Jeanne Arth [USA] d. Maria Bueno [BRA] / Sally Moore [USA],6-2 6-3
22-Jun-1959,Wimbledon,Grass,F,(1) Hard / Jeanne Arth [USA] d. (3) Beverly Baker Fleitz [USA] / Christine Truman [GBR],2-6 6-2 6-3
29-Aug-1958,US National Championships,Grass,F,Hard / Jeanne Arth [USA] d. Maria Bueno [BRA] / Althea Gibson [USA],2-6 6-3 6-4
29-Aug-1957,US National Championships,Grass,F,(1) Louise Brough / Margaret Osborne Dupont [USA] d. (2) Hard / Althea Gibson [USA],6-2 7-5
24-Jun-1957,Wimbledon,Grass,F,Hard / Althea Gibson [USA] d. Mary Hawton / Thelma Long [AUS],6-1 6-2
21-May-1957,Roland Garros,Clay,F,(1) Hard / Shirley Bloomer [GBR] d. Yola Ramirez [MEX] / Rosie Reyes [FRA],7-5 4-6 7-5
