Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1964,,,3,2128,1,1998,,,,,,,,
1963,,,2,2060,1,1911,7,1863,2,1971,,,,
1962,,,8,1959,5,1789,13,1828,3,1927,,,,
1961,,,4,2028,2,1858,11,1847,2,1939,,,,
1960,,,5,2035,3,1836,8,1864,4,1929,,,,
1959,,,6,1953,4,1773,,,4,1882,,,,
1958,,,16,1825,9,1698,,,8,1795,,,,
1957,,,5,1948,6,1755,10,1795,4,1882,,,,
1956,,,12,1880,5,1682,11,1762,9,1806,,,,
1955,,,9,1865,5,1670,23,1619,6,1803,,,,
1954,,,28,1725,11,1569,43,1498,20,1647,,,,
