Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,175,69,106,39.4%,162-230,41.3%,1707-1920,47.1%,12-16,42.9%,153,64.8%,31.5%,4.6%,5.8%,57.6%,64.4%,44.2%,55.8%,41.5%,48.7%,0.94
Clay,129,52,77,40.3%,128-174,42.4%,1341-1515,47.0%,16-20,44.4%,114,58.5%,34.1%,3.3%,5.4%,57.6%,62.6%,44.7%,55.0%,42.6%,48.7%,0.95
Grass,22,5,17,22.7%,13-37,26.0%,197-273,41.9%,2-3,40.0%,21,65.0%,20.8%,5.1%,4.8%,58.1%,67.8%,44.0%,57.9%,35.0%,46.5%,0.83
Carpet,3,1,2,33.3%,2-5,28.6%,22-36,37.9%,0-0,-,3,-,-,5.6%,5.6%,63.1%,61.9%,33.3%,51.4%,37.0%,43.8%,0.76
Grand Slams,73,24,49,32.9%,60-109,35.5%,706-876,44.6%,6-10,37.5%,68,65.9%,25.7%,4.1%,5.7%,57.6%,65.5%,43.9%,56.3%,39.1%,47.9%,0.90
Premiers,20,4,16,20.0%,13-33,28.3%,172-247,41.1%,2-2,50.0%,18,59.6%,22.2%,3.0%,4.9%,57.7%,60.2%,41.6%,52.3%,39.8%,45.9%,0.83
Internationals,193,85,108,44.0%,198-240,45.2%,1973-2107,48.4%,18-23,43.9%,175,61.3%,34.5%,4.4%,5.7%,57.6%,63.6%,44.6%,55.6%,42.7%,49.1%,0.96
Finals,4,4,0,100.0%,8-1,88.9%,53-35,60.2%,0-0,-,3,70.8%,45.8%,2.9%,3.4%,55.3%,68.7%,48.4%,59.6%,46.3%,52.8%,1.15
Semi-finals,8,4,4,50.0%,10-9,52.6%,87-91,48.9%,1-1,50.0%,7,62.5%,38.0%,4.6%,6.0%,58.0%,62.9%,40.2%,53.4%,43.1%,48.2%,0.93
Quarter-finals,21,8,13,38.1%,15-27,35.7%,168-215,43.9%,2-0,100.0%,19,53.4%,28.6%,5.2%,5.8%,57.3%,60.6%,42.7%,53.0%,41.7%,47.3%,0.89
vs Righties,303,115,188,38.0%,275-414,39.9%,2974-3447,46.3%,24-39,38.1%,268,61.8%,32.0%,4.1%,5.6%,57.5%,63.5%,44.1%,55.3%,41.4%,48.3%,0.93
vs Lefties,25,11,14,44.0%,28-31,47.5%,278-287,49.2%,6-0,100.0%,22,71.1%,32.0%,4.7%,5.7%,59.9%,67.2%,46.1%,58.8%,42.1%,50.6%,1.02
vs Top 10,20,2,18,10.0%,5-37,11.9%,128-245,34.3%,1-1,50.0%,20,54.6%,24.8%,2.6%,5.4%,56.6%,57.0%,42.7%,50.8%,36.5%,43.8%,0.74
