Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2020,4,0,4,0.0%,1-8,11.1%,34-54,38.6%,0-1,0.0%,4,54.8%,24.4%,2.5%,4.2%,60.1%,59.4%,36.3%,50.2%,38.8%,44.5%,0.78,R32 (2x)
2019,37,13,24,35.1%,29-55,34.5%,358-429,45.5%,4-6,40.0%,36,65.4%,26.6%,3.4%,4.4%,57.2%,65.1%,44.1%,56.1%,40.2%,48.0%,0.92,QF (2x)
2018,35,16,19,45.7%,34-46,42.5%,354-396,47.2%,5-5,50.0%,35,63.8%,30.6%,3.3%,5.0%,59.8%,63.8%,43.0%,55.4%,41.1%,48.3%,0.92,W (2x)
2017,36,16,20,44.4%,39-45,46.4%,385-397,49.2%,2-9,18.2%,36,60.8%,39.3%,4.0%,5.6%,57.0%,62.6%,45.3%,55.2%,44.5%,49.9%,0.99,SF (Luxembourg)
2016,28,13,15,46.4%,29-31,48.3%,274-291,48.5%,4-2,66.7%,28,62.6%,34.2%,4.7%,5.7%,57.5%,62.8%,46.6%,55.9%,43.2%,49.5%,0.98,SF (Katowice)
2015,11,2,9,18.2%,8-20,28.6%,94-146,39.2%,1-0,100.0%,11,52.3%,28.6%,4.1%,7.0%,57.9%,59.8%,49.2%,55.3%,36.8%,45.8%,0.82,R16 (Monterrey)
2014,17,7,10,41.2%,15-23,39.5%,158-191,45.3%,2-2,50.0%,17,-,-,2.9%,6.3%,57.5%,64.8%,40.6%,54.5%,40.8%,47.7%,0.90,QF (Baku)
2013,13,1,12,7.7%,4-24,14.3%,93-161,36.6%,1-1,50.0%,10,-,-,2.7%,8.8%,61.4%,56.9%,38.6%,49.8%,38.3%,43.9%,0.76,R16 (Auckland)
2012,33,15,18,45.5%,37-41,47.4%,362-375,49.1%,1-4,20.0%,28,-,-,4.8%,5.3%,58.4%,64.6%,47.2%,57.4%,42.3%,50.0%,0.99,SF (Strasbourg)
2011,19,5,14,26.3%,14-29,32.6%,168-226,42.6%,2-1,66.7%,15,-,-,3.5%,5.6%,58.2%,64.5%,44.4%,56.1%,40.9%,48.5%,0.93,R16 (2x)
2010,22,6,16,27.3%,19-34,35.8%,236-276,46.1%,1-3,25.0%,17,-,-,4.9%,5.8%,57.5%,64.4%,42.3%,55.0%,40.6%,47.8%,0.90,QF (Bogota)
2009,18,6,12,33.3%,16-26,38.1%,182-211,46.3%,3-4,42.9%,17,-,-,4.0%,5.7%,58.3%,63.7%,42.9%,55.0%,41.6%,48.3%,0.93,QF (Memphis)
2008,38,17,21,44.7%,39-46,45.9%,384-412,48.2%,3-1,75.0%,31,-,-,6.0%,5.8%,55.8%,67.9%,44.0%,57.4%,41.4%,49.2%,0.97,W (Bad Gastein)
2007,13,9,4,69.2%,19-9,67.9%,148-116,56.1%,1-0,100.0%,5,-,-,2.5%,4.8%,50.1%,65.0%,51.1%,58.1%,42.3%,49.7%,1.01,W (Tashkent)
2006,2,0,2,0.0%,0-4,0.0%,12-25,32.4%,0-0,-,0,,,,,,,,,,,,R32 (Tashkent)
2005,3,1,2,33.3%,2-5,28.6%,25-38,39.7%,0-0,-,1,-,-,4.2%,10.4%,50.0%,45.8%,29.2%,37.5%,30.8%,34.5%,0.49,R64 (US Open)
Career,329,127,202,38.6%,305-446,40.6%,3267-3744,46.6%,30-39,43.5%,291,62.4%,32.0%,4.1%,5.6%,57.7%,63.9%,44.3%,55.6%,41.5%,48.5%,0.93,
