Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2019 Wimbledon R128,W vs Sharapova,99.1,107.9,5.6,109.5,106.6,117,89,88.8,4.7,89.3,89.5,96,77
2019 Roland Garros R128,L vs Bertens,99.1,105.6,5.5,,,116,93,86.6,3.8,,,93,75
2018 US Open R128,L vs Keys,94.2,101.0,5.7,104.2,100.6,113,88,82.0,5.4,88.0,,93,73
2017 US Open R128,L vs Dodin,96.3,106.3,4.7,108.4,104.3,118,96,86.5,5.5,87.8,92.0,94,75
2017 Wimbledon R128,L vs Mladenovic,97.3,106.3,4.6,109.0,106.0,115,97,87.3,5.0,88.5,85.3,95,76
2017 Roland Garros R64,L vs Witthoeft,93.9,101.8,5.4,,,116,90,84.0,4.2,,,92,74
2017 Roland Garros R128,W vs Khromacheva,98.0,103.1,6.3,,,112,81,86.8,3.9,,,92,77
2017 Australian Open R64,L vs Vandeweghe,96.4,102.8,6.0,109.5,100.3,115,87,85.4,3.9,,88.0,90,75
2017 Australian Open R128,W vs Doi,94.8,100.4,8.3,108.0,97.1,115,64,83.9,5.2,,87.0,95,74
2016 US Open R128,L vs Garcia,95.3,103.5,5.8,108.8,100.4,119,94,84.1,4.8,79.5,84.0,94,74
2016 Roland Garros R32,L vs Bacsinszky,97.0,105.5,5.6,109.0,105.0,116,95,85.0,5.0,87.0,,94,74
2016 Roland Garros R64,W vs Falconi,95.3,103.1,5.3,,,114,93,84.8,5.6,,,97,75
2016 Roland Garros R128,W vs Niculescu,91.4,99.0,8.6,,,116,61,79.8,7.7,,,94,66
2015 Roland Garros R128,L vs Soler Espinosa,96.7,102.5,7.5,,,115,80,82.9,5.9,,,91,70
2014 Roland Garros R16,L vs Muguruza,99.0,104.0,5.6,,,113,93,86.6,5.0,,,97,77
2014 Roland Garros R32,W vs Barthel,96.1,103.3,6.8,,,116,88,84.5,5.8,,,94,68
2014 Roland Garros R64,W vs Shvedova,99.2,104.0,7.5,,,117,87,84.4,4.3,,,89,74
2014 Roland Garros R128,W vs Vinci,97.5,106.2,6.5,,,119,92,83.8,6.0,,,97,71
2013 Wimbledon R128,L vs Petkovic,101.8,,,,,114,,,,,,,82
2013 Roland Garros R128,L vs Rybarikova,90.9,,,,,106,,,,,,,75
Career (26 matches),,96.1,103.7,6.3,108.6,101.8,119,61,84.1,5.2,87.4,88.1,97,62
