Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2020 Roland Garros R128,L vs Kudermetova,5,14,0.4,4.6%,12.8%,5,14,0.4,4.7%,13.1%,,,0.8,17.4%,22.9%
2020 Australian Open R128,L vs Wang,9,31,0.3,6.8%,23.5%,9,31,0.3,7.3%,25.0%,,,0.7,12.9%,19.7%
2019 Fed Cup RR,L vs Tomljanovic,12,28,0.4,9.2%,21.4%,8,26,0.3,6.8%,22.2%,6.8%,0.0%,0.8,13.7%,16.8%
2019 US Open R128,L vs Pavlyuchenkova,15,28,0.5,11.5%,21.5%,13,25,0.5,11.1%,21.4%,5.1%,3.4%,0.7,16.2%,23.1%
2019 Wimbledon R64,L vs Suarez Navarro,29,34,0.9,18.2%,21.4%,22,29,0.8,15.0%,19.7%,10.2%,4.1%,0.6,8.8%,13.8%
2019 Wimbledon R128,W vs Sharapova,25,28,0.9,14.3%,16.0%,23,25,0.9,14.2%,15.4%,13.0%,1.2%,0.5,9.1%,17.1%
2019 Roland Garros R128,L vs Bertens,9,14,0.6,7.2%,11.2%,9,14,0.6,8.1%,12.6%,,,1.3,15.2%,12.0%
2019 Hobart R32,W vs Perez,16,34,0.5,7.4%,15.7%,11,31,0.4,5.5%,15.6%,2.5%,2.0%,0.6,13.4%,24.1%
2018 Quebec City F,W vs Pegula,16,21,0.8,11.9%,15.6%,15,20,0.8,11.7%,15.6%,8.6%,3.1%,0.7,15.6%,21.5%
2018 US Open R128,L vs Keys,13,20,0.7,9.4%,14.4%,12,13,0.9,9.8%,10.6%,8.9%,0.0%,1.0,20.9%,20.1%
2018 Wimbledon R128,L vs Townsend,8,24,0.3,7.4%,22.2%,7,21,0.3,7.0%,21.0%,6.0%,1.0%,0.6,13.0%,20.4%
2018 Istanbul F,W vs Hercog,7,30,0.2,4.4%,18.9%,7,28,0.3,4.5%,18.1%,4.5%,0.0%,0.5,17.0%,33.3%
2017 Luxembourg R32,W vs Niculescu,30,28,1.1,23.8%,22.2%,27,28,1.0,22.3%,23.1%,16.5%,3.3%,0.6,11.9%,19.8%
2017 US Open R128,L vs Dodin,27,34,0.8,13.3%,16.7%,22,25,0.9,12.4%,14.1%,10.2%,1.7%,0.8,14.3%,18.2%
2017 Wimbledon R128,L vs Mladenovic,5,18,0.3,4.6%,16.7%,2,14,0.1,2.4%,16.5%,2.4%,0.0%,1.2,19.4%,15.7%
2017 Roland Garros R64,L vs Witthoeft,34,45,0.8,20.2%,26.8%,33,42,0.8,20.4%,25.9%,16.7%,3.1%,0.8,10.7%,13.1%
2017 Roland Garros R128,W vs Khromacheva,18,18,1.0,17.8%,17.8%,14,15,0.9,15.4%,16.5%,12.1%,3.3%,0.5,10.9%,21.8%
2017 Fed Cup RR,W vs Sorribes Tormo,33,42,0.8,20.9%,26.6%,32,41,0.8,21.5%,27.5%,15.4%,6.0%,0.3,7.0%,20.9%
2017 Miami R32,L vs Konta,5,19,0.3,5.6%,21.3%,2,18,0.1,2.6%,23.7%,2.6%,0.0%,1.4,21.3%,15.7%
2017 Indian Wells R32,L vs Kerber,46,59,0.8,19.4%,24.9%,43,54,0.8,19.4%,24.3%,14.4%,5.0%,0.5,10.1%,19.0%
Career (45 matches),,822,1203,0.7,13.5%,19.7%,713,1062,0.7,12.7%,18.8%,8.5%,2.1%,0.7,13.1%,18.9%
