Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2023-09-11),1520,2,,,,,,,,,,,,
2022,1386,3,,,,,,,,,,,,
2021,879,17,,,,,,,,,,,,
2020,648,35,,,,,,,,,963,26,,
2019,651,31,,,,,,,,,1103,18,,
2018,441,20,,,,,,,,,,,,
2017,590,48,,,,,,,,,620,76,,
2016,374,119,,,,,,,,,436,129,,
2015,228,227,214,1510,215,1453,176,1504,,,471,126,,
2014,587,52,,,,,,,,,539,99,,
2013,252,184,,,,,,,,,506,107,,
2012,300,151,,,,,,,,,615,76,,
2011,778,17,,,,,,,,,725,48,,
2010,254,185,142,1608,,,122,1593,,,1149,15,,
2009,145,356,187,1558,179,1507,160,1538,200,1438,307,199,,
2008,194,215,134,1639,219,1458,106,1634,,,432,113,,
2007,335,106,271,1458,303,1372,222,1454,199,1415,122,438,,
2006,172,238,192,1535,250,1408,156,1541,175,1440,442,99,,
2005,292,115,,,,,,,,,855,25,,
2004,406,66,,,,,,,,,604,55,,
2003,330,95,,,,,,,,,892,22,,
2002,691,18,,,,,,,,,1142,10,,
2001,,,,,,,,,,,1536,1,,
