Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2016 Marrakech R32,L vs Bagnis,65.5%,27.8%,9.1%,2/3,2.35,2.1%,68.0%,29.4%,16.0%,2.48,4.2%,76.0%,26.3%,4.0%,2.22,0.0%
2015 Casablanca R32,W vs Haase,73.7%,54.8%,0.0%,0/0,2.21,9.8%,81.6%,51.6%,0.0%,2.07,26.7%,78.6%,63.6%,0.0%,2.29,0.0%
Career (2 matches),,69.6%,42.3%,4.5%,40.0%,2.28,5.7%,76.2%,43.8%,6.3%,2.32,12.8%,76.9%,40.0%,2.6%,2.26,0.0%
