Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2010 WTA Championships RR,L vs Wozniacki,72.2%,26.9%,0.0%,0/0,2.58,3.2%,76.0%,26.3%,0.0%,2.50,4.8%,70.0%,28.6%,0.0%,2.75,0.0%
2010 Tokyo F,L vs Wozniacki,88.3%,44.1%,1.3%,1/0,2.46,2.9%,89.6%,34.9%,0.0%,2.44,3.9%,92.6%,60.0%,3.7%,2.52,0.0%
2010 Tokyo R32,W vs Shvedova,69.4%,76.0%,0.0%,0/0,2.53,0.0%,90.0%,77.8%,0.0%,2.48,0.0%,70.0%,71.4%,0.0%,2.64,0.0%
2010 US Open R16,L vs Stosur,78.6%,58.7%,1.7%,1/1,2.16,2.6%,76.7%,51.8%,2.7%,2.10,3.1%,90.0%,69.4%,0.0%,2.45,0.0%
2010 New Haven SF,L vs Wozniacki,83.3%,50.6%,2.0%,1/1,2.40,1.1%,85.5%,44.1%,1.4%,2.48,1.6%,86.7%,65.4%,3.3%,2.24,0.0%
2010 Roland Garros SF,L vs Schiavone,73.3%,48.5%,2.2%,0/1,2.11,20.6%,70.4%,36.8%,0.0%,2.15,17.4%,87.5%,64.3%,6.3%,2.01,27.3%
2010 Roland Garros QF,W vs Petrova,65.2%,60.5%,9.1%,3/3,2.55,10.8%,70.0%,64.3%,10.0%,2.56,13.0%,78.9%,53.3%,10.5%,2.52,5.3%
2010 Roland Garros R16,W vs Scheepers,85.7%,61.9%,0.0%,0/0,2.01,0.0%,89.2%,63.6%,0.0%,1.96,0.0%,90.0%,55.6%,0.0%,2.20,0.0%
2010 Rome R16,L vs Ivanovic,74.6%,49.1%,2.8%,2/0,2.34,5.3%,74.0%,40.5%,0.0%,2.32,7.7%,88.9%,68.8%,11.1%,2.40,0.0%
2010 Indian Wells QF,L vs Radwanska,80.3%,45.3%,0.0%,0/0,2.44,6.5%,84.1%,43.2%,0.0%,2.46,6.3%,80.0%,50.0%,0.0%,2.39,7.1%
2010 Indian Wells R32,W vs Flipkens,63.5%,66.7%,1.9%,1/0,2.34,26.3%,73.7%,57.1%,0.0%,2.25,32.0%,90.5%,73.7%,4.8%,2.50,15.4%
2010 Paris F,W vs Safarova,77.1%,48.6%,7.3%,2/5,2.55,7.8%,71.2%,42.9%,5.1%,2.53,11.6%,88.9%,56.3%,11.1%,2.60,0.0%
2010 Paris SF,W vs Oudin,83.2%,58.3%,0.0%,0/0,2.89,4.1%,83.1%,59.3%,0.0%,2.89,6.4%,96.2%,56.0%,0.0%,2.88,0.0%
2010 Australian Open R64,L vs Henin,81.3%,52.7%,0.0%,0/0,2.60,12.0%,82.1%,56.5%,0.0%,2.60,17.3%,93.8%,48.9%,0.0%,2.61,0.0%
2010 Sydney QF,W vs Safina,75.0%,61.9%,3.6%,2/0,2.36,2.3%,78.4%,55.2%,2.7%,2.19,3.4%,87.5%,71.4%,6.3%,2.71,0.0%
2010 Sydney F,W vs Williams,72.7%,70.8%,4.5%,1/2,2.15,3.8%,65.8%,60.0%,5.3%,2.03,5.9%,88.5%,82.6%,3.8%,2.34,0.0%
2010 Sydney SF,W vs Azarenka,87.8%,62.8%,6.1%,3/0,2.13,5.6%,97.4%,57.9%,2.6%,2.11,9.1%,83.3%,100.0%,33.3%,2.15,0.0%
2009 WTA Championships RR,L vs Williams,68.2%,55.6%,10.6%,6/1,2.26,2.6%,58.5%,54.2%,4.9%,1.96,4.8%,87.5%,57.1%,20.8%,2.64,0.0%
2009 Beijing QF,L vs Radwanska,87.0%,53.3%,0.0%,0/0,2.43,1.9%,90.7%,51.3%,0.0%,2.47,0.0%,84.0%,57.1%,0.0%,2.40,4.0%
2009 Toronto F,W vs Sharapova,70.9%,53.6%,3.8%,1/2,2.68,0.0%,82.4%,57.1%,3.9%,2.66,0.0%,77.8%,42.9%,5.6%,2.73,0.0%
Career (74 matches),,72.9%,56.2%,3.0%,69.7%,2.41,6.8%,74.2%,52.7%,2.4%,2.37,8.9%,85.2%,61.8%,4.8%,2.50,2.2%
