Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2010,60,41,19,68.3%,88-47,65.2%,709-540,56.8%,5-11,31.3%,51,-,-,2.1%,6.4%,64.7%,61.8%,47.1%,56.6%,49.3%,52.9%,1.14,W (2x)
2009,73,55,18,75.3%,117-46,71.8%,868-596,59.3%,7-6,53.8%,67,-,-,2.8%,8.7%,60.2%,66.4%,46.4%,58.4%,48.4%,53.4%,1.17,W (3x)
2008,73,56,17,76.7%,120-50,70.6%,905-669,57.5%,10-8,55.6%,59,-,-,2.0%,5.6%,64.1%,62.7%,45.3%,56.4%,48.3%,52.4%,1.11,W (3x)
2007,59,41,18,69.5%,83-43,65.9%,641-500,56.2%,7-5,58.3%,54,-,-,2.3%,10.8%,56.1%,64.2%,42.9%,54.8%,50.5%,52.6%,1.12,W (2x)
2006,69,47,22,68.1%,97-59,62.2%,783-669,53.9%,9-1,90.0%,46,-,-,1.1%,11.7%,60.9%,61.3%,40.6%,53.2%,50.1%,51.6%,1.07,W (2x)
2005,68,45,23,66.2%,96-63,60.4%,812-695,53.9%,10-3,76.9%,22,-,-,0.9%,10.3%,58.0%,60.7%,38.7%,51.5%,50.7%,51.1%,1.04,F (2x)
2004,62,39,23,62.9%,81-60,57.4%,667-615,52.0%,8-4,66.7%,13,-,-,1.1%,12.5%,58.1%,62.4%,39.0%,52.6%,49.3%,51.0%,1.04,W (Hasselt)
2003,74,49,25,66.2%,109-64,63.0%,870-710,55.1%,10-3,76.9%,8,-,-,2.0%,6.1%,64.9%,65.0%,41.6%,56.8%,47.1%,52.2%,1.09,W (3x)
2002,66,39,27,59.1%,93-60,60.8%,790-665,54.3%,9-12,42.9%,0,,,,,,,,,,,,F (s Hertogenbosch)
2001,61,38,23,62.3%,83-54,60.6%,688-595,53.6%,6-6,50.0%,0,,,,,,,,,,,,F (2x)
2000,58,38,20,65.5%,80-53,60.2%,654-562,53.8%,7-5,58.3%,0,,,,,,,,,,,,F (Olympics)
1999,24,12,12,50.0%,30-25,54.5%,255-241,51.4%,1-1,50.0%,0,,,,,,,,,,,,SF (Palermo)
1998,2,0,2,0.0%,0-3,0.0%,9-18,33.3%,1-1,50.0%,0,,,,,,,,,,,,R32 (2x)
1997,1,0,1,0.0%,0-2,0.0%,3-12,20.0%,0-0,-,0,,,,,,,,,,,,R32 (Kremlin Cup)
Career,750,500,250,66.7%,1077-629,63.1%,8654-7087,55.0%,90-66,57.7%,320,-,-,2.0%,8.7%,61.0%,63.2%,43.7%,55.6%,49.3%,52.4%,1.11,
