Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2010 WTA Championships RR,L vs Wozniacki,14.3%,19.0%,35.5%,16.0%,24.0%,47.6%,20.0%,53.3%,80.0%,16.7%,16.7%,10.0%,66.7%,66.7%,100.0%,17
2010 Tokyo F,L vs Wozniacki,11.1%,29.6%,51.5%,12.1%,34.5%,54.9%,72.7%,69.4%,71.4%,10.5%,21.1%,41.2%,100.0%,80.0%,0.0%,-19
2010 Tokyo R32,W vs Shvedova,16.7%,36.1%,66.7%,21.7%,47.8%,66.7%,66.7%,28.6%,0.0%,10.0%,20.0%,66.7%,80.0%,40.0%,-,-104
2010 US Open R16,L vs Stosur,15.6%,24.0%,43.6%,9.7%,20.8%,46.2%,56.3%,70.0%,55.6%,38.1%,38.1%,30.8%,100.0%,77.8%,100.0%,47
2010 New Haven SF,L vs Wozniacki,16.5%,24.3%,47.8%,21.8%,30.8%,49.2%,75.8%,35.6%,55.6%,6.5%,12.9%,44.8%,100.0%,46.7%,0.0%,-56
2010 Roland Garros SF,L vs Schiavone,22.4%,30.6%,50.0%,32.4%,38.2%,52.2%,73.3%,68.4%,100.0%,0.0%,18.2%,45.5%,75.0%,71.4%,-,-119
2010 Roland Garros QF,W vs Petrova,18.2%,29.5%,55.4%,20.7%,31.0%,56.5%,76.0%,69.7%,87.5%,17.4%,34.8%,52.6%,92.3%,80.0%,100.0%,35
2010 Roland Garros R16,W vs Scheepers,13.5%,19.2%,64.9%,16.7%,22.2%,56.7%,66.7%,62.5%,100.0%,12.5%,25.0%,100.0%,100.0%,100.0%,-,-42
2010 Rome R16,L vs Ivanovic,14.1%,16.9%,38.6%,15.2%,19.6%,43.6%,27.8%,60.7%,77.8%,14.3%,14.3%,27.8%,81.8%,50.0%,50.0%,19
2010 Indian Wells QF,L vs Radwanska,0.0%,10.0%,52.2%,0.0%,9.4%,56.3%,57.1%,72.2%,66.7%,0.0%,14.3%,42.9%,100.0%,80.0%,-,-119
2010 Indian Wells R32,W vs Flipkens,16.9%,28.8%,55.3%,16.7%,30.0%,56.0%,45.5%,73.7%,66.7%,27.8%,44.4%,53.8%,88.9%,66.7%,50.0%,115
2010 Paris F,W vs Safarova,31.3%,43.8%,56.3%,33.8%,49.2%,58.1%,42.9%,43.2%,100.0%,27.6%,34.5%,52.4%,100.0%,26.3%,0.0%,-26
2010 Paris SF,W vs Oudin,12.8%,19.8%,47.9%,14.5%,23.6%,42.6%,68.0%,56.7%,40.0%,10.3%,13.8%,57.7%,93.3%,64.3%,100.0%,-26
2010 Australian Open R64,L vs Henin,15.5%,19.6%,38.7%,16.1%,21.0%,38.5%,51.7%,45.5%,62.5%,17.9%,21.4%,39.1%,54.5%,41.2%,33.3%,46
2010 Sydney QF,W vs Safina,14.5%,29.1%,62.8%,17.1%,37.1%,72.4%,50.0%,42.9%,100.0%,12.5%,18.8%,42.9%,100.0%,42.9%,100.0%,-4
2010 Sydney F,W vs Williams,39.2%,47.1%,53.8%,43.3%,53.3%,52.9%,26.7%,40.0%,100.0%,43.8%,50.0%,55.6%,100.0%,50.0%,0.0%,183
2010 Sydney SF,W vs Azarenka,20.0%,38.0%,58.3%,29.0%,51.6%,63.6%,33.3%,61.5%,100.0%,6.7%,20.0%,50.0%,100.0%,50.0%,-,-58
2009 WTA Championships RR,L vs Williams,26.2%,33.8%,34.2%,38.2%,52.9%,42.9%,47.1%,52.9%,50.0%,19.0%,19.0%,23.5%,37.5%,46.2%,50.0%,30
2009 Beijing QF,L vs Radwanska,8.2%,13.1%,45.3%,12.5%,15.6%,50.0%,60.0%,29.4%,25.0%,3.8%,11.5%,40.0%,76.9%,15.4%,0.0%,-79
2009 Toronto F,W vs Sharapova,17.4%,20.3%,56.0%,22.7%,27.3%,61.8%,80.0%,42.1%,50.0%,11.1%,11.1%,43.8%,100.0%,30.0%,-,-27
Career (74 matches),,16.4%,24.3%,49.7%,19.6%,29.7%,51.4%,63.6%,39.1%,37.9%,14.7%,20.4%,46.2%,86.3%,32.2%,25.5%,15
