Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2018 Seoul R16,L vs Begu,25% (3/12),50% (4/8),0/0,0/0,54% (7/13),0/2,0/1,- (0/0),- (0/0)
2018 Seoul R32,W vs Mattek Sands,67% (8/12),71% (5/7),2/3,1/1,57% (4/7),0/0,0/0,- (0/0),- (0/0)
2018 US Open R128,L vs Maria,57% (4/7),50% (2/4),0/0,0/0,38% (3/8),0/2,0/1,- (0/0),- (0/0)
2018 New Haven R32,L vs Kvitova,63% (5/8),100% (2/2),0/0,0/0,50% (4/8),0/2,0/1,40% (2/5),20% (1/5)
2018 Cincinnati R64,L vs Pliskova,45% (5/11),13% (1/8),0/0,0/0,73% (11/15),4/6,0/1,- (0/0),- (0/0)
2018 Wimbledon R64,L vs Safarova,73% (8/11),9% (1/11),0/2,0/0,67% (6/9),1/3,1/2,- (0/0),- (0/0)
2018 Wimbledon R128,W vs Ruse,57% (12/21),33% (5/15),2/4,1/1,73% (11/15),7/8,6/6,- (0/0),- (0/0)
2018 Eastbourne SF,L vs Sabalenka,36% (5/14),41% (7/17),1/1,0/0,46% (6/13),0/2,0/1,- (0/0),- (0/0)
2018 Eastbourne QF,W vs Ostapenko,50% (6/12),54% (7/13),2/2,1/1,33% (2/6),0/0,0/0,- (0/0),- (0/0)
2018 Eastbourne R32,W vs Saville,73% (11/15),29% (6/21),2/3,1/1,71% (10/14),6/7,2/2,80% (4/5),50% (3/6)
2018 Eastbourne R64,W vs Babos,67% (6/9),86% (6/7),2/2,1/1,50% (2/4),0/0,0/0,- (0/0),- (0/0)
2018 Miami R16,L vs Azarenka,25% (1/4),60% (3/5),0/0,0/0,30% (3/10),1/3,0/1,- (0/0),- (0/0)
2018 Miami R32,W vs Halep,80% (8/10),64% (7/11),2/2,1/1,17% (1/6),1/2,0/0,- (0/0),- (0/0)
2018 Miami R64,W vs Van Uytvanck,60% (6/10),50% (6/12),2/5,1/2,33% (2/6),0/0,0/0,60% (3/5),67% (4/6)
2018 Indian Wells R64,L vs Osaka,44% (4/9),33% (1/3),0/0,0/0,50% (4/8),0/2,0/1,- (0/0),- (0/0)
2018 Dubai R32,L vs Kasatkina,44% (4/9),45% (5/11),0/0,0/0,46% (6/13),4/6,0/1,- (0/0),- (0/0)
2018 Doha R32,L vs Kvitova,44% (8/18),50% (5/10),1/1,0/0,56% (9/16),3/5,0/1,80% (4/5),60% (3/5)
2018 Doha R64,W vs Barthel,53% (10/19),40% (6/15),2/11,1/10,50% (5/10),0/1,0/0,- (0/0),- (0/0)
2018 Australian Open R32,L vs Hsieh,80% (4/5),60% (3/5),0/0,0/0,25% (2/8),2/4,1/2,- (0/0),- (0/0)
2018 Australian Open R64,W vs Tsurenko,69% (11/16),33% (4/12),2/4,1/2,50% (4/8),2/3,0/0,- (0/0),- (0/0)
2018 (27 matches),,57.6%,42.7%,50.0%,48.3%,51.6%,52.2%,45.8%,68.0%,50.0%
2017 (43 matches),,60.1%,45.3%,56.0%,53.2%,54.8%,46.8%,48.6%,54.8%,53.7%
2016 (70 matches),,57.5%,54.2%,53.8%,51.0%,57.9%,54.2%,48.6%,58.3%,45.3%
2015 (67 matches),,60.5%,49.2%,62.3%,68.2%,55.6%,42.9%,35.3%,52.8%,41.5%
2014 (64 matches),,61.6%,53.0%,61.5%,61.3%,55.1%,43.8%,48.6%,55.6%,56.8%
Career (464 matches),,60.1%,51.0%,57.2%,58.5%,56.9%,51.0%,46.6%,57.9%,49.2%
