Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,12,Hard,47,35,12,74.5%,5,1,4,20.0%,2007,2018,SF,43,1.14,3.2%,2.0%,64.0%,63.7%,46.2%,57.4%,48.5%,54.7%,50.4%
Roland Garros,11,Clay,34,23,11,67.6%,5,0,5,0.0%,2007,2017,QF,30,1.14,3.2%,1.9%,63.8%,64.8%,44.8%,57.6%,48.2%,51.3%,50.7%
Wimbledon,13,Grass,56,43,13,76.8%,7,5,2,71.4%,2006,2018,F,51,1.17,3.2%,1.5%,69.5%,65.7%,49.1%,60.7%,45.9%,62.8%,43.6%
US Open,13,Hard,40,27,13,67.5%,4,4,0,100.0%,2006,2018,R16,31,1.16,3.3%,2.2%,62.9%,64.8%,50.1%,59.3%,47.0%,55.8%,48.8%
Olympics,3,,4,1,3,25.0%,3,2,1,66.7%,2008,2016,R32,2,0.86,5.4%,2.4%,70.1%,73.5%,42.0%,64.1%,31.1%,22.2%,27.3%
Fed Cup,10,,41,32,9,78.0%,7,5,2,71.4%,2006,2015,,0,,,,,,,,,,
Miami,12,Hard,42,31,11,73.8%,6,5,1,83.3%,2007,2018,W,42,1.16,3.4%,2.5%,63.6%,63.1%,47.2%,57.3%,49.5%,52.3%,50.8%
Indian Wells,12,Hard,41,29,12,70.7%,9,4,5,44.4%,2007,2018,F,40,1.09,2.7%,2.3%,65.3%,60.8%,48.0%,56.4%,47.7%,56.9%,54.5%
Eastbourne,12,Grass,29,18,11,62.1%,11,2,9,18.2%,2007,2018,W,27,1.10,4.0%,1.3%,70.5%,64.0%,47.1%,59.0%,45.2%,58.6%,47.5%
Dubai,11,Hard,27,17,10,63.0%,3,1,2,33.3%,2007,2018,W,21,1.10,3.1%,2.6%,65.3%,62.9%,46.8%,57.3%,46.9%,41.4%,51.7%
Beijing,10,Hard,36,28,8,77.8%,3,2,1,66.7%,2008,2017,W,30,1.12,2.4%,2.6%,62.7%,63.7%,46.0%,57.1%,48.2%,57.2%,50.7%
Stuttgart,10,Clay,23,13,10,56.5%,6,5,1,83.3%,2007,2017,SF,23,1.04,3.4%,1.8%,65.9%,61.8%,45.3%,56.1%,45.8%,59.7%,50.9%
