Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2004,12,4,8,33.3%,11-16,40.7%,126-144,46.7%,4-2,66.7%,12,79.4%,13.5%,13.5%,6.8%,59.2%,77.8%,46.7%,65.1%,31.9%,48.2%,0.91,QF (Marseille)
2003,15,6,9,40.0%,14-21,40.0%,172-199,46.4%,7-3,70.0%,15,78.2%,13.7%,13.0%,9.8%,56.0%,77.2%,45.6%,63.3%,33.1%,48.5%,0.90,QF (Moscow)
2002,20,8,12,40.0%,23-26,46.9%,247-266,48.1%,8-7,53.3%,20,84.1%,11.6%,17.2%,8.9%,57.4%,79.0%,48.8%,66.2%,31.8%,49.2%,0.94,QF (2x)
2001,36,12,24,33.3%,31-59,34.4%,418-497,45.7%,9-9,50.0%,35,78.5%,14.4%,12.5%,9.8%,56.1%,76.8%,43.8%,62.3%,33.3%,47.9%,0.88,QF (Moscow)
2000,56,31,25,55.4%,79-61,56.4%,710-678,51.2%,10-14,41.7%,54,83.1%,20.4%,13.0%,8.0%,57.2%,78.0%,48.9%,65.6%,36.5%,50.6%,1.06,W (2x)
1999,54,27,27,50.0%,68-67,50.4%,667-643,50.9%,10-15,40.0%,52,82.3%,19.8%,12.3%,8.6%,54.2%,79.4%,46.9%,64.5%,35.8%,50.2%,1.01,W (St. Petersburg)
1998,58,29,29,50.0%,68-73,48.2%,692-719,49.0%,14-11,56.0%,53,79.6%,18.4%,12.7%,8.6%,53.8%,80.0%,45.5%,64.1%,35.8%,49.5%,1.00,F (2x)
1997,66,34,32,51.5%,87-81,51.8%,836-837,50.0%,17-15,53.1%,60,79.4%,20.6%,9.7%,7.1%,55.2%,76.8%,45.9%,63.0%,37.2%,50.0%,1.01,W (Antwerp)
1996,68,39,29,57.4%,99-76,56.6%,889-812,52.3%,16-14,53.3%,59,84.5%,20.8%,12.8%,5.6%,58.0%,80.7%,48.2%,67.1%,36.3%,51.6%,1.10,W (Dusseldorf)
1995,62,40,22,64.5%,96-59,61.9%,839-724,53.7%,18-15,54.5%,54,84.0%,21.5%,11.6%,6.3%,55.6%,79.8%,48.7%,65.9%,37.1%,51.4%,1.09,W (2x)
1994,76,49,27,64.5%,119-74,61.7%,1004-920,52.2%,28-12,70.0%,69,82.9%,21.5%,12.9%,6.6%,57.3%,79.1%,47.3%,65.6%,37.5%,51.1%,1.09,W (2x)
1993,73,49,24,67.1%,115-63,64.6%,944-802,54.1%,19-14,57.6%,65,86.0%,23.2%,13.3%,4.8%,58.7%,78.6%,49.6%,66.6%,37.9%,52.0%,1.14,W (3x)
1992,66,40,26,60.6%,102-69,59.6%,897-796,53.0%,18-11,62.1%,49,82.4%,22.3%,11.2%,4.9%,57.0%,77.7%,49.2%,65.5%,37.1%,51.1%,1.07,W (2x)
1991,56,23,33,41.1%,64-77,45.4%,653-711,47.9%,7-7,50.0%,48,77.2%,20.0%,10.8%,4.8%,55.2%,75.7%,47.0%,62.8%,36.8%,49.5%,0.99,SF (New Haven)
1990,61,36,25,59.0%,68-68,50.0%,624-630,49.8%,19-7,73.1%,0,,,,,,,,,,,,W (Lyon)
1989,9,7,2,77.8%,14-5,73.7%,99-61,61.9%,0-0,-,0,,,,,,,,,,,,W (Geneva)
1988,1,0,1,0.0%,1-2,33.3%,10-13,43.5%,0-0,-,0,,,,,,,,,,,,R32 (Geneva)
Career,789,434,355,55.0%,1059-897,54.1%,9827-9452,51.0%,204-156,56.7%,645,82.0%,20.0%,12.3%,6.9%,56.4%,78.5%,47.5%,65.0%,36.3%,50.5%,1.04,
