Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,11,Hard,24,13,11,54.2%,12,9,3,75.0%,1990,2003,QF,22,0.97,8.2%,6.6%,55.8%,75.7%,44.2%,61.7%,37.0%,61.7%,41.0%
Roland Garros,14,Clay,26,12,14,46.2%,13,6,7,46.2%,1990,2004,SF,21,1.03,7.7%,5.1%,61.3%,76.0%,43.4%,63.4%,37.7%,62.4%,41.4%
Wimbledon,14,Grass,28,14,14,50.0%,15,11,4,73.3%,1990,2003,R16,24,1.00,13.0%,8.4%,59.1%,81.7%,41.2%,65.1%,34.8%,53.2%,35.2%
US Open,14,Hard,20,6,14,30.0%,10,3,7,30.0%,1990,2003,R16,16,0.87,10.8%,7.1%,56.6%,78.9%,41.0%,62.4%,32.8%,55.9%,34.2%
Olympics,2,,9,8,1,88.9%,4,4,0,100.0%,1992,1996,W,0,,,,,,,,,,
Davis Cup,11,,36,24,12,66.7%,21,19,2,90.5%,1990,2001,,0,,,,,,,,,,
Moscow,15,Carpet,45,32,13,71.1%,20,11,9,55.0%,1990,2004,W,39,1.18,16.2%,6.8%,56.8%,81.6%,50.7%,68.2%,37.6%,63.6%,37.9%
Gstaad,14,Clay,29,15,14,51.7%,14,8,6,57.1%,1990,2004,SF,25,1.09,12.2%,7.5%,56.0%,79.4%,50.4%,66.7%,36.4%,66.9%,27.7%
Basel,13,Carpet,25,12,13,48.0%,15,7,8,46.7%,1989,2003,SF,23,1.08,16.5%,5.6%,58.0%,81.0%,49.7%,67.9%,34.6%,54.3%,43.0%
Miami Masters,12,Hard,23,11,12,47.8%,10,3,7,30.0%,1990,2002,QF,22,0.99,10.7%,6.9%,53.8%,74.0%,49.7%,62.8%,36.8%,54.5%,41.9%
Monte Carlo Masters,12,Clay,22,10,12,45.5%,8,5,3,62.5%,1990,2001,QF,16,0.93,6.7%,7.1%,51.5%,71.5%,48.1%,60.2%,37.2%,57.5%,37.6%
Paris Masters,11,Carpet,29,18,11,62.1%,12,6,6,50.0%,1990,2000,F,25,1.08,18.7%,6.0%,58.2%,81.5%,48.7%,67.8%,34.7%,70.3%,34.5%
Toulouse,10,Hard,26,16,10,61.5%,14,7,7,50.0%,1991,2000,SF,25,1.15,15.2%,5.3%,56.3%,81.5%,53.0%,69.1%,35.7%,64.6%,39.6%
Lyon,10,Carpet,21,13,8,61.9%,14,9,5,64.3%,1990,2003,W,16,1.03,18.3%,7.0%,58.0%,80.6%,45.3%,65.8%,35.2%,62.4%,36.3%
Hamburg Masters,10,Clay,18,8,10,44.4%,3,2,1,66.7%,1991,2001,QF,17,1.00,7.9%,5.9%,57.9%,71.2%,43.1%,59.4%,40.8%,51.9%,37.8%
