Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2000 Marseille F,W vs Federer,51.3%,80.0%,28.7%,72.3%,4.7%,18.2%,0.0%,20.0%,100.0%,0.0%,-,-33,28
1996 Wimbedon R32,L vs Rafter,80.2%,67.4%,34.1%,66.7%,45.5%,40.0%,66.7%,44.4%,66.7%,0.0%,-,63,101
1996 Roland Garros SF,L vs Stich,27.3%,61.1%,15.3%,62.5%,12.7%,7.1%,23.1%,20.0%,50.0%,0.0%,-,-66,-7
1994 Paris SF,W vs Chang,15.3%,46.2%,13.8%,50.0%,10.7%,23.3%,10.0%,27.8%,0.0%,0.0%,-,-22,34
1994 Paris F,L vs Agassi,17.1%,47.4%,13.7%,52.9%,16.6%,22.9%,12.5%,4.1%,22.2%,0.5%,50.0%,-23,18
1994 New Haven F,L vs Becker,10.0%,71.4%,12.8%,62.5%,22.5%,14.3%,33.3%,0.0%,0.0%,0.8%,0.0%,62,36
1993 Stockholm SF,L vs Stich,95.1%,58.6%,41.1%,60.0%,36.4%,50.0%,0.0%,22.2%,16.7%,0.0%,-,104,135
1993 Indian Wells R32,W vs Agassi,22.0%,68.2%,18.5%,72.5%,12.8%,11.9%,12.0%,5.4%,18.8%,0.3%,100.0%,-21,11
1992 Olympics F,W vs Arrese,34.5%,74.0%,25.9%,69.2%,8.4%,6.3%,2.2%,2.7%,13.8%,1.7%,8.3%,-34,29
1992 Roland Garros R128,L vs Sampras,13.0%,65.0%,14.2%,61.7%,15.6%,14.5%,2.5%,10.5%,36.4%,0.2%,100.0%,-60,-43
1991 Wimbledon R128,L vs Edberg,51.7%,60.0%,21.3%,60.0%,75.0%,66.7%,0.0%,25.0%,25.0%,3.0%,100.0%,65,67
Career (11 matches),,35.2%,65.6%,21.6%,64.4%,13.8%,15.2%,9.5%,8.4%,26.2%,0.6%,27.8%,-17,26
