Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
1995 Canada SF,L vs Agassi,5.5,5.6,5.5,35.0%,30.4%,50.0%,26.7%,35.2%,43.3%,-2.0,-3.0,-9.0,-12.7
1993 US Open R64,W vs Pernfors,4.4,4.0,4.8,50.3%,41.4%,43.8%,51.2%,47.0%,48.9%,7.0,2.8,-7.0,-5.1
1990 Australian Open SF,L vs Edberg,4.3,5.7,2.6,42.7%,17.2%,50.0%,20.0%,41.1%,27.9%,1.0,1.2,-8.5,-10.4
1989 Davis Cup World Group F RR,L vs Becker,3.0,3.9,1.9,41.2%,22.9%,20.0%,16.7%,39.0%,28.9%,-1.5,-2.9,1.5,2.7
1988 US Open F,W vs Lendl,7.6,8.0,7.1,53.8%,37.8%,61.0%,54.1%,41.0%,66.3%,1.0,0.3,-2.5,-1.3
1988 US Open SF,W vs Cahill,5.2,6.2,4.2,62.5%,54.5%,59.3%,34.8%,40.6%,29.9%,13.5,10.1,21.0,16.3
1988 Roland Garros F,W vs Leconte,5.1,5.7,4.6,59.7%,62.8%,65.0%,59.1%,44.1%,16.2%,14.5,10.5,24.5,17.6
1988 Roland Garros SF,W vs Agassi,6.7,6.4,6.9,55.0%,51.1%,50.0%,55.1%,28.7%,32.4%,20.5,9.4,10.0,2.4
1988 Australian Open F,W vs Cash,3.8,4.7,3.0,55.9%,48.3%,44.4%,55.0%,45.4%,12.5%,11.0,5.6,14.0,7.0
1988 Australian Open SF,W vs Edberg,3.8,4.8,2.8,59.6%,55.6%,52.4%,52.9%,42.0%,18.1%,26.0,17.7,19.0,11.8
1987 Tour Finals F,L vs Lendl,8.0,8.2,7.8,42.6%,32.4%,71.4%,37.8%,26.5%,17.1%,-2.0,-1.7,4.0,1.3
1987 Tour Finals RR,L vs Edberg,4.3,5.2,3.2,49.3%,22.9%,53.8%,41.7%,38.3%,21.8%,0.0,0.0,-9.0,-9.9
1987 US Open F,L vs Lendl,7.2,6.3,7.9,48.9%,41.8%,50.0%,47.1%,36.2%,37.7%,4.0,1.4,-2.0,-0.6
1987 US Open SF,W vs Edberg,4.1,4.8,3.4,55.9%,42.2%,60.9%,52.9%,40.2%,29.3%,9.0,6.7,18.5,13.7
1987 US Open QF,W vs Mecir,6.3,7.2,5.5,55.3%,56.3%,40.0%,59.6%,41.2%,53.0%,16.5,5.8,14.5,7.5
1987 Wimbledon QF,L vs Cash,3.3,3.4,3.0,41.1%,37.3%,50.0%,100.0%,46.2%,5.3%,-3.0,-7.0,-1.5,-3.1
1987 Roland Garros F,L vs Lendl,8.8,8.2,9.5,48.2%,34.8%,42.9%,56.3%,39.5%,11.6%,7.0,1.9,7.5,1.4
1987 Roland Garros SF,W vs Becker,7.6,6.3,9.0,56.3%,60.7%,78.6%,63.4%,44.2%,26.0%,17.0,7.6,10.0,4.8
1987 Rome F,W vs Jaite,7.6,7.3,7.8,65.3%,62.9%,30.4%,50.0%,46.7%,17.4%,6.0,2.5,6.0,2.8
1987 Rome SF,W vs Mcenroe,5.2,5.5,4.8,63.6%,64.3%,54.5%,50.0%,57.6%,12.6%,7.5,6.1,10.0,12.8
Career (35 matches),,5.8,6.1,5.5,51.8%,46.1%,52.4%,50.2%,40.6%,22.4%,6.9,3.7,5.9,2.7
