Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
1996,196,209,83,1790,52,1776,77,1751,,,525,70,,
1995,46,,38,1859,28,1836,56,1792,22,1787,324,142,,
1994,129,,69,1798,55,1774,55,1777,,,165,395,,
1993,330,,,,,,,,,,1067,4,,
1991,159,,50,1847,23,1855,33,1838,28,1771,387,76,,
1990,41,,22,1916,17,1886,17,1905,,,252,142,,
1989,12,,9,2039,5,2029,4,2056,5,1943,295,,,
1988,1,,3,2172,3,2149,2,2164,4,2001,179,,,
1987,3,,4,2169,5,2073,2,2179,6,1993,25,,,
1986,3,,6,2106,6,2047,2,2139,5,2019,9,,,
1985,3,,6,2158,4,2091,3,2182,5,2049,4,,,
1984,4,,4,2224,4,2152,3,2195,3,2101,25,,,
1983,4,,2,2310,2,2200,1,2313,3,2154,,,,
1982,8,,8,2106,7,2022,4,2160,12,1863,,,,
1981,73,,68,1791,52,1746,85,1702,69,1649,,,,
1979,480,,,,,,,,,,,,,
