Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
1996,1092,,,,,,,,,,,,,
1995,70,,87,1765,51,1773,94,1706,45,1717,,,,
1994,35,,43,1859,31,1845,54,1778,40,1721,,,,
1993,45,,35,1879,25,1872,53,1782,33,1740,,,,
1992,28,,18,1965,17,1916,22,1908,,,,,,
1991,34,,26,1903,22,1860,30,1849,37,1724,,,,
1990,20,,32,1876,21,1867,32,1847,,,,,,
1989,8,,5,2064,8,2009,9,1943,10,1850,,,,
1988,15,,21,1939,16,1902,18,1894,,,997,,,
1987,61,,32,1875,30,1813,22,1859,,,443,,,
1986,26,,21,1921,17,1877,18,1891,,,293,,,
1985,29,,48,1821,32,1799,40,1794,78,1635,206,,,
1984,12,,24,1896,22,1854,12,1955,,,678,,,
