Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2017 Caserta $25K QF,L vs Pieri,71% (10/14),70% (7/10),3/5,60% (9/15),33% (3/9),6/7,1/2,1/2,0/0,0/1
2017 Caserta $25K R16,W vs Gasanova,44% (4/9),100% (4/4),2/2,50% (5/10),60% (3/5),3/3,1/2,0/0,1/1,0/0
2017 Caserta $25K R32,W vs Saez Larra,70% (7/10),86% (6/7),1/3,33% (3/9),0% (0/3),2/5,1/1,0/0,0/0,0/0
2017 Rome $25K R16,L vs Hon,40% (4/10),75% (3/4),2/4,80% (8/10),25% (2/8),1/3,0/0,1/3,0/0,0/1
2017 Rome $25K R32,W vs Hozumi,70% (7/10),100% (7/7),4/5,70% (7/10),29% (2/7),2/5,0/2,0/0,0/1,0/0
2017 Istanbul $60K R32,L vs Terziyska,11% (1/9),100% (1/1),0/3,63% (5/8),20% (1/5),1/1,0/0,0/1,0/0,0/0
2017 Santa Margherita Di Pula $25K R32,L vs Sugnaux,50% (5/10),60% (3/5),2/5,56% (5/9),0% (0/5),1/3,0/0,1/1,0/0,1/1
2017 Santa Margherita Di Pula $25K R16,L vs Zavatska,75% (9/12),44% (4/9),2/7,75% (9/12),22% (2/9),2/4,1/2,0/0,0/0,0/0
2017 Santa Margherita Di Pula $25K R32,W vs Pieri,36% (4/11),50% (2/4),0/1,27% (3/11),67% (2/3),2/2,1/1,3/3,0/0,0/0
2017 Antalya $15K SF,W vs Eraydin,78% (7/9),86% (6/7),3/3,33% (3/9),0% (0/3),5/6,2/2,0/0,1/1,0/0
2017 Antalya $15K QF,W vs Chernyshova,86% (6/7),100% (6/6),1/1,29% (2/7),50% (1/2),4/5,1/1,0/0,1/1,0/0
2017 Antalya $15K R16,W vs Mu,75% (6/8),100% (6/6),2/2,38% (3/8),33% (1/3),4/5,1/1,0/0,1/1,0/0
2017 Antalya $15K R32,W vs Ghitescu,75% (6/8),83% (5/6),1/1,38% (3/8),67% (2/3),3/4,1/2,0/0,1/1,0/0
2016 Bratislava $25K F,W vs Allertova,78% (7/9),71% (5/7),1/1,13% (1/8),0% (0/1),3/4,1/2,0/0,0/1,0/0
2016 Bratislava $25K SF,W vs Schoofs,89% (8/9),88% (7/8),2/3,38% (3/8),0% (0/3),3/5,0/0,0/0,0/0,0/0
2016 Bratislava $25K R16,W vs Ferro,75% (6/8),100% (6/6),0/1,14% (1/7),0% (0/1),3/4,0/0,0/0,0/0,0/0
2016 Bratislava $25K R32,W vs Schmiedlova,63% (5/8),100% (5/5),0/0,14% (1/7),100% (1/1),4/4,1/1,0/0,0/0,0/0
2016 Poitiers $100K R32,L vs Hesse,38% (3/8),67% (2/3),2/6,100% (7/7),14% (1/7),1/2,0/0,0/0,0/0,0/0
2016 Joue Les Tours $50K R16,L vs Lapko,11% (1/9),100% (1/1),0/4,88% (7/8),43% (3/7),0/1,0/0,1/1,0/0,0/0
2016 Joue Les Tours $50K R32,W vs Ferro,42% (5/12),100% (5/5),0/2,33% (4/12),50% (2/4),4/5,2/2,0/0,1/1,0/0
2017 (13 matches),,59.8%,78.9%,54.8%,51.6%,29.2%,67.9%,62.5%,60.0%,83.3%,33.3%
2016 (27 matches),,47.0%,76.5%,22.9%,48.3%,22.2%,63.0%,76.2%,63.6%,70.0%,57.1%
2015 (27 matches),,40.1%,71.1%,25.5%,49.0%,26.4%,66.7%,67.9%,69.4%,53.3%,73.3%
2014 (11 matches),,50.4%,79.7%,25.7%,53.5%,29.5%,62.5%,58.3%,53.3%,100.0%,85.7%
2013 (14 matches),,55.4%,80.5%,42.2%,54.7%,19.5%,56.3%,84.6%,57.1%,100.0%,50.0%
Career (104 matches),,50.0%,76.1%,34.2%,50.7%,25.9%,62.2%,67.3%,63.7%,67.4%,65.9%
