Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2017 Caserta $25K QF,L vs Pieri,0.82,0.87,69.2,3.1,1.9%,53.8%,2.0%,52.0%,50.8%,49.0%
2017 Caserta $25K R16,W vs Gasanova,1.07,1.26,56.6,2.7,0.0%,52.5%,2.6%,66.7%,53.3%,41.9%
2017 Caserta $25K R32,W vs Saez Larra,1.09,1.35,55.6,2.3,0.0%,53.8%,0.0%,58.3%,58.8%,50.0%
2017 Rome $25K R16,L vs Hon,1.00,0.74,52.1,2.5,0.0%,47.1%,0.0%,44.1%,34.2%,47.1%
2017 Rome $25K R32,W vs Hozumi,1.19,1.37,60.5,2.7,0.0%,45.5%,0.0%,54.8%,64.5%,50.0%
2017 Istanbul $60K R32,L vs Terziyska,1.00,0.56,44.6,2.8,0.0%,50.0%,0.0%,50.0%,23.1%,33.3%
2017 Santa Margherita Di Pula $25K R32,L vs Sugnaux,0.85,0.67,51.2,2.5,0.0%,51.9%,0.0%,41.7%,50.0%,33.3%
2017 Santa Margherita Di Pula $25K R16,L vs Zavatska,0.94,0.81,50.4,4.7,2.2%,46.7%,0.0%,48.8%,54.2%,35.6%
2017 Santa Margherita Di Pula $25K R32,W vs Pieri,1.08,1.46,52.5,2.4,2.9%,71.4%,0.0%,67.6%,33.3%,50.0%
2017 Antalya $15K SF,W vs Eraydin,1.07,1.31,54.8,2.8,0.0%,67.6%,0.0%,41.9%,42.4%,67.7%
2017 Antalya $15K QF,W vs Chernyshova,1.03,1.71,38.8,2.2,0.0%,68.0%,0.0%,59.1%,64.3%,55.6%
2017 Antalya $15K R16,W vs Mu,1.07,1.49,47.9,2.1,0.0%,65.4%,0.0%,54.5%,56.7%,53.6%
2017 Antalya $15K R32,W vs Ghitescu,1.05,1.72,41.9,2.0,4.0%,64.0%,0.0%,66.7%,60.7%,52.0%
2016 Bratislava $25K F,W vs Allertova,1.04,1.95,40.8,2.3,4.2%,83.3%,4.8%,57.1%,66.7%,41.2%
2016 Bratislava $25K SF,W vs Schoofs,0.87,1.34,49.3,2.2,4.3%,73.9%,0.0%,47.4%,59.5%,57.6%
2016 Bratislava $25K R16,W vs Ferro,1.20,2.50,32.3,2.3,10.5%,73.7%,11.8%,70.6%,51.9%,64.0%
2016 Bratislava $25K R32,W vs Schmiedlova,1.12,2.45,36.0,2.0,0.0%,65.0%,5.3%,84.2%,60.0%,51.9%
2016 Poitiers $100K R32,L vs Hesse,1.07,0.64,46.5,2.3,0.0%,39.1%,0.0%,36.4%,46.2%,28.0%
2016 Joue Les Tours $50K R16,L vs Lapko,0.94,0.56,39.9,2.5,0.0%,54.8%,0.0%,41.9%,25.9%,36.4%
2016 Joue Les Tours $50K R32,W vs Ferro,1.08,1.30,57.8,4.9,7.5%,60.0%,5.1%,66.7%,43.6%,45.5%
2017 (13 matches),,1.01,1.09,53.4,2.6,0.9%,55.8%,0.5%,54.2%,49.6%,47.2%
2016 (27 matches),,1.00,1.00,48.9,2.4,3.0%,56.2%,2.2%,55.8%,43.1%,44.4%
2015 (27 matches),,1.03,0.94,61.9,2.9,2.4%,57.3%,1.5%,53.1%,41.5%,40.4%
2014 (11 matches),,1.00,1.01,61.0,2.9,2.0%,53.7%,0.8%,56.1%,43.4%,48.6%
2013 (14 matches),,0.97,0.95,66.2,3.3,1.8%,51.4%,1.0%,52.6%,48.5%,45.5%
Career (104 matches),,1.01,1.01,59.2,2.7,1.9%,55.6%,1.2%,54.3%,45.2%,44.7%
