Date,Tournament,Surface,Rd,,Score
02-Sep-1970,US Open,Grass,SF,(6) Roy Emerson / Rod Laver [AUS] d. Rosewall / Fred Stolle [AUS],6-1 6-1 7-6
02-Sep-1970,US Open,Grass,QF,(2) Rosewall / Fred Stolle [AUS] d. Bill Bowrey / Owen Davidson [AUS],5-7 6-4 6-2 7-6
02-Sep-1970,US Open,Grass,R16,(2) Rosewall / Fred Stolle [AUS] d. Jim Mcmanus / Jim Osborne [USA],6-1 6-3 6-4
02-Sep-1970,US Open,Grass,R32,(2) Rosewall / Fred Stolle [AUS] d. Andres Gimeno [ESP] / Roger Taylor [GBR],7-5 7-5 2-2 RET
02-Sep-1970,US Open,Grass,R64,(2) Rosewall / Fred Stolle [AUS] d. Issa Khodaei [IRI] / Ezzat Nemati [UAE],W/O
22-Jun-1970,Wimbledon,Grass,F,(1) John Newcombe / Tony Roche [AUS] d. Rosewall / Fred Stolle [AUS],10-8 6-3 6-1
22-Jun-1970,Wimbledon,Grass,SF,(6) Rosewall / Fred Stolle [AUS] d. Ilie Nastase / Ion Tiriac [ROU],6-4 3-6 10-8 0-6 6-3
22-Jun-1970,Wimbledon,Grass,QF,(6) Rosewall / Fred Stolle [AUS] d. Roy Emerson / Rod Laver [AUS],6-4 6-4 13-11
22-Jun-1970,Wimbledon,Grass,R16,(6) Rosewall / Fred Stolle [AUS] d. Pierre Barthes [FRA] / Nikola Pilic [CRO],3-6 7-5 4-6 6-1 6-4
22-Jun-1970,Wimbledon,Grass,R32,(6) Rosewall / Fred Stolle [AUS] d. Thomas Lejus [RUS] / L Palman [UNK],6-4 6-4 6-1
22-Jun-1970,Wimbledon,Grass,R64,(6) Rosewall / Fred Stolle [AUS] d. Cliff Richey [USA] / Ray Ruffels [AUS],6-3 6-2 4-6 6-1
27-Aug-1969,US Open,Grass,F,(5) Rosewall / Fred Stolle [AUS] d. Charlie Pasarell / Dennis Ralston [USA],2-6 7-5 13-11 6-3
27-Aug-1969,US Open,Grass,SF,(5) Rosewall / Fred Stolle [AUS] d. Tom Okker [NED] / Marty Riessen [USA],6-1 10-8 6-4
27-Aug-1969,US Open,Grass,QF,(5) Rosewall / Fred Stolle [AUS] d. Earl Butch Buchholz [USA] / Raymond Moore [RSA],6-3 6-4 6-2
27-Aug-1969,US Open,Grass,R16,(5) Rosewall / Fred Stolle [AUS] d. Bill Bowrey / Owen Davidson [AUS],6-1 10-12 6-3 6-4
27-Aug-1969,US Open,Grass,R32,(5) Rosewall / Fred Stolle [AUS] d. Pierre Barthes [FRA] / Nikola Pilic [CRO],6-3 6-4 6-2
27-Aug-1969,US Open,Grass,R64,(5) Rosewall / Fred Stolle [AUS] d. Zeljko Franulovic [CRO] / Nicola Spear [SRB],W/O
23-Jun-1969,Wimbledon,Grass,R16,Dick Crealy / Allan Stone [AUS] d. Rosewall / Fred Stolle [AUS],12-10 6-1 6-4
23-Jun-1969,Wimbledon,Grass,R32,(3) Rosewall / Fred Stolle [AUS] d. Roy Barth [USA] / Alejandro Olmedo [PER],6-4 6-3 6-2
23-Jun-1969,Wimbledon,Grass,R64,(3) Rosewall / Fred Stolle [AUS] d. Bob Howe [AUS] / Abe Segal [RSA],6-3 7-5 6-0
