Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2024-10-21),,,,,,,,,,,39,2213,,
2023,1032,15,,,,,,,,,,,,
2022,397,124,,,,,,,,,,,,
2021,1186,12,,,,,,,,,,,,
2020,801,26,,,,,,,,,74,1290,,
2019,780,25,,,,,,,,,76,1172,,
2018,365,99,214,1453,206,1432,201,1378,193,1329,45,1708,,
2017,128,468,119,1652,120,1608,135,1518,137,1463,40,1860,,
2016,184,299,207,1435,200,1411,203,1318,199,1309,52,1555,,
2015,189,269,,,,,,,,,142,488,,
2014,409,75,,,,,,,,,310,159,,
2013,417,99,,,,,,,,,334,185,,
2012,726,26,,,,,,,,,394,124,,
2011,918,14,,,,,,,,,1025,15,,
